Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving
https://www.pararius.com/house-for-rent/maarssen/897dfa6f/wilhelminaweg,,,105 m²,3 rooms,Upholstered,,,,,,,,,,,,,,
https://www.pararius.com/house-for-rent/amstelveen/87c2a625/anne-de-vrieslaan,"€3,950 per month",1187 WN (Schrijversbuurt),165 m²,5 rooms,,,,1995,1,"Bath
Shower
Toilet
Laundry room",Not present,"Present (48 m², located on the east)",achtertuin,A,Present,,,No,"Description
DESCRIPTION
This is a beautiful and spacious corner townhouse. The corner house is beautifully situated next to the green park on a quiet road in the child-friendly Westwijk and offers unobstructed views with a sheltered location. The sun shines on the house all day long. The house has a spacious layout, has four bedrooms, a spacious front and back garden and plenty of parking spaces.
A very suitable house for a family with many possibilities. The house has an energy label A. The house is delivered fully furnished.
LAY OUT:
Ground floor:
You enter a neat hall. Here you have access to the toilet, the living room and a staircase to the upper floor. The spacious living room has a beautiful PVC floor and a beautiful design, which is immediately noticeable. The sunny living room is divided into an attractive sitting area at the rear, a cozy dining area, and a spacious open kitchen. The kitchen is equipped with A-brand appliances. Due to the favorable corner location and the presence of the bay window, there is pleasant and abundant light in the living room.
1st floor:
From the landing you have access to all rooms and the stairs to the 2nd floor. Two spacious bedrooms. The master bedroom is very spacious with lots of closet space. The second bedroom has a bunk bed, but this can also be different. A modern bathroom that has recently been renovated with a bath, shower, toilet and sink.
2nd floor:
You enter upstairs to the two bedrooms and the laundry room including washing machine and dryer. The third bedroom is furnished as a bedroom. The fourth bedroom as an office or study space but can also be used as a full-fledged bedroom. A separate pantry is accessible from this bedroom. Both rooms have lots of closet space.
Garden:
Through the sliding doors of the living room you go to the spacious backyard. The garden, located on the east, has a lot of privacy and is surrounded by a fence and is also accessible from the rear. There is a stone shed for bicycles, for example.
Free parking in front of the door. Within walking distance of metro 51 and bus lines 172 and 199. Various highways are also very easy to reach. Many amenities in the area such as sports facilities, restaurants, shops, supermarkets, (international) schools, etc.
CHARACTERISTICS:
Type of property Corner house with beautiful view of the meadows
Construction type: Existing construction
Delivery level: Furnished (nice design furnishings)
Number of rooms: 5
Living area: 165 m2 (+/- 450 m3)
Plot: 200 m2
Storage available: Yes
Home sharers: No
Pets: in consultation
Basic rent per month: EUR. 3950
Deposit: 2 months
Status: Available from December 21, 2024 (to be discussed)
Acceptance To be discussed
Year of construction: 1995
Energy label: A
Energy: Energy-efficient Remeha CV boiler (2021).
(the solar system is not part of the rental)
Location: On a park, on a quiet road, on the corner, in a residential area."
https://www.pararius.com/apartment-for-rent/amsterdam/598f5603/van-reigersbergenstraat,"€2,350 per month",1052 WG (Frederik Hendrikbuurt),80 m²,3 rooms,Furnished,,,1993,1,"Lift
Shower
Toilet
Laundry room",Present,,,,,,,,"Description
ONLY AVAILABLE FOR A SINGLE PERSON! Please be aware that this apartment is available to rent for the period from 5 November 2024 until 6 May 2025. The rental period is 6 months. Longer is not possible!
FULLY FURNISHED || 2 BEDROOMS || AMSTERDAM CENTER || LUXURIOUS || 6 MONTHS
A beautiful, spacious and luxurious, fully furnished 2-bedroom apartment in Westerpark within walking distance of the Jordaan and the city centre of Amsterdam, with a water view. This apartment is approximately 80 m2 and has 2 bedrooms, 1 bathroom and a balcony that overlooks a major canal.
LAY OUT
The building is entered via a communal entrance. The apartment is situated on the 4th floor and can be reached via elevator and stairs. The living room has a spacious lounge/dining area opening onto a large balcony facing South West with a beautiful view on the Kostverlorenvaart in Westerpark, Amsterdam.
Large master bedroom with good view over the balcony and the water. Built-in wardrobes along the full length of the second bedroom. Design bathroom with shower, washbasin and storage. Separate toilet. Fully equipped kitchen with bluestone bench tops. Laundry closet with washer and dryer. Audio/Visual system in the main bedroom (overhead projector and drop down screen) and HD 55” wall-mounted television in the living room.
LOCATION
This wonderful apartment is located in a very peaceful street in the Westerpark area of Amsterdam, close to Vondelpark and just a 3 minute walk from the Jordaan area, shops and nice restaurants. Public transport links in less than 200 meters (e.g. direct tram and bus lines to Amsterdam Central station and Amstel station) and Amsterdam’s Central Station can be reached by bike in just 15 minutes. Bus 18, 80 and tram 3 within 250m; tram 5, 13, 19 within 500m.The A10 ring road is accessible in less than 10 minutes, which offers a direct route to Schiphol Airport and beyond (e.g. Utrecht, Haarlem). De Jordaan and Old-West area provide a fantastic array of trendy bars, friendly cafes, mouth-watering restaurants (incl. De Hallen). Supermarkets and grocery shops located just around the corner
Details:
• Size of the property: 80 m2
• Number of bedrooms: 2
• Number of bathrooms: 1
• Type of house: Apartment
• Construction year of the house: 1993
• Interior decoration: Furnished
• Flooring: synthetic floor
• Quality of public transportation:Excellent; Bus 18, 80 at 197m, Tram 3, 12, 13, 14 at 225m
• Neighbourhood: Westerpark
Also in this rental house:
• Parking possibility: Permit: waiting list
• Separate shower
• Separate toilet
• Elevator
• 4th floor
• Balcony Lounge Balcony (facing West); Entrance Balcony (facing East)
Conditions:
• Singles only
• Sharing not allowed
• Children not allowed
• Pets not allowed
• Tenancy agreements subject to owner’s consent
• Measurements not conform NEN 2580
On top of the rental price there will be an advance payment of € 160,- euros for Gas and Electricity.
On top of the rental price there will be an advance payment of € 184,- euros for Water, TV/internet and cleaning of 2 hours per 2 weeks.
The rental price is exclusive of local taxes."
https://www.pararius.com/apartment-for-rent/leeuwarden/e837cf0c/weaze,,,70 m²,2 rooms,Upholstered,,,,,,,,,,,,,,
https://www.pararius.com/apartment-for-rent/heeten/3d05fb3c/holterweg,"€1,975 per month",8111 BA (Heeten Kern),210 m²,2 rooms,Shell,Unlimited period,,1990,1,,Present,Not present,,,Not present,No,,No,"Description
Delightful apartment with balcony for rent in Heeten with 1 bedroom in the Heeten Kern district."
https://www.pararius.com/apartment-for-rent/utrecht/fbd7fc2a/oudkerkhof,,,118 m²,4 rooms,Upholstered or furnished,,,,,,,,,,,,,,
https://www.pararius.com/house-for-rent/amsterdam/5bf1628e/narva-eiland,"€3,650 per month",1014 ZJ (Houthavens),139 m²,5 rooms,Furnished,Temporary rental,,2020,2,"Bath
Shower
Toilet",Present,"Present (24 m², located on the south)",,A,Not present,Yes,Garage,No,"Description
A unique fully furnished luxury house (139m2) with 4 bedrooms, garden and private parking for rent in lovely Houthavens:
Energy label A
Amazing 4-bedroom property that is equipped with comfort and every convenience that you want!
Entrance on the groundfloor with direct access to the house. Here you enter the bright living room with big windows and spacious kitchen with high ceilings.
Light and height dominate in the beautiful living-kitchen that is equipped with all modern built-in appliances. The kitchen is luxury finished. The large sunny balcony is accessible from the living room. The front side of the house offers a nice garden with all day sun.
The home has four spacious bedrooms and two bathrooms, which are situated on the 1st and 2nd floor. Both bathrooms have a walk-in shower and a sink. In addition, the bathroom on the 2nd floor has a bathtub and a toilet.
This very sustainable house has energy label A, which means that the costs for utilities are very low because of his solar panels and perfect isolation.
Located in the new and fantastic Houthavens area, within walking distance of the Jordaan, the beautiful Prinseneiland, and Haarlemmerdijk.There are many schools, childcare centers, and gyms closeby and already offers many different great restaurants and hotels.
Pubic transport is within walking distance.
This fully furnished home has everything you're looking for in a home! Will you be the lucky tenant of this fantastic apartment?
Price is € 3650,- ex utilities
Fully furnished
Child friendly area
139 m2
Energy label A (5 solar panels)
Private parking underground (also for bikes)
4 bedrooms
2 bathrooms
18m2 garden
8m2 balcony
9 months rental period
No students and max 2 persons sharing"
https://www.pararius.com/house-for-rent/eindhoven/6fc74b4c/orpheuslaan,"€3,495 per month",5631 BR (Oude Gracht-West),153 m²,5 rooms,Furnished,Unlimited period,,1960,2,"Bath
Shower
Toilet",Present,"Present (60 m², located on the south-west)",,C,Present,Yes,On private land,Yes,"Description
Really to perfection finished spacious and completely new furnished house with 4 bedrooms and 2 bathrooms in the popular residential area ""Oude Gracht"" in Eindhoven, just minutes from Eindhoven center.
Layout:
First floor.
Hall with floor tiles. Toilet. Staircase and double steel doors to living room.
L-shaped living room with luxury open kitchen, equipped with the following appliances:
5-burner gas hob, extractor fan, fridge, freezer, 2 combination oven/microwaves and dishwasher.
Cozy sitting area with new PVC floor.
Steel doors lead into the spacious garden room/dining room with sliding doors to the backyard. ""Laundry room with sink and connections for washer and dryer. Attached garage which can also be used as a playroom/workroom with electric sectional door.
Attractive garden/terrace on sunny side. Lockable shed/bicycle storage and back.
Second floor.
4 spacious bedrooms, 3 of which are fully furnished with ""custom"" made clothing closets and exclusive ""Swiss-Sense"" beds.
Bathroom 1, with walk-in shower, designer sink cabinet and toilet. Bathroom 2, equipped with bathtub, designer sink cabinet and toilet.
Details:
This exclusive rental home has been completely renovated and modernized using very high quality materials.
Very complete and luxurious furniture has been used.
Rental price € 3,495 per month, including upholstery and furniture.
Excluding energy, water, tv/internet and municipal taxes.
Minimum rental period is 12 months.
Available from November 2024."
https://www.pararius.com/apartment-for-rent/amsterdam/24ddb01c/oudezijds-voorburgwal,,,87 m²,4 rooms,Furnished,,,,,,,,,,,,,,
https://www.pararius.com/room-for-rent/groningen/79f39340/abel-tasmanplein,€642 per month,9726 ER (Zeeheldenbuurt),22 m²,1 room,Furnished,Temporary rental,,,,,Not present,Not present,,,Not present,No,,No,"Description
Comfortable room for rent in Groningen in the Zeeheldenbuurt district."
https://www.pararius.com/apartment-for-rent/delfzijl/84534e94/oude-schans,"€1,250 per month",9934 CN (Centrum-Delfzijl),200 m²,5 rooms,Furnished,Unlimited period,,1940,,,Not present,Not present,,,Not present,No,,No,"Description
Located in the center of Delfzijl: Fully furnished apartment with 3 bedrooms. Available for up to 4 people. Ideal for expats, companies, Eemshaven.
Layout:
Entrance, spacious living room with bar, separate, fully equipped kitchen, 3 spacious bedrooms, modern bathroom.
Particularities:
Available immediately, all facilities available, fully furnished
For temporary or longer rental
Financial:
Rent: € 1250,00,- excluding utilities and monthly cleaning )approx € 350,00)
Deposit: € 1600,-"
https://www.pararius.com/apartment-for-rent/amsterdam/4ef8c116/winthontstraat,"€2,600 per month",1013 BR (Haarlemmerbuurt),72 m²,3 rooms,Furnished,,,2008,,,,,,A,,,,,"Description
This lovely 2 bedroom maisonette apartment is located in the center of Amsterdam, on the 'Westerdoks island' with beautiful view on the harbour and the IJ river and within walking distance of the ‘Jordaan’, Central Station and near by the recently called out to be the ""best shopping street in the Netherlands”, the ‘Haarlemmerdijk’. The property has his own parking space.
Layout: Central entrance with elevator to the 5th floor. Entrance of the apartment. Hallway with access to a small bedroom that can also serve as an office. Stairs to the upper floor with living room and open kitchen at the front. From the living room an incredibly beautiful view of the water and the harbour! The kitchen is equipped with various built-in appliances including a refrigerator, freezer, combi oven/microwave, dishwasher and an induction hob with extractor. The large master bedroom is situated at the rear and has a double bed and plenty of cupboard space. Modern bathroom with a walk-in shower and sink. The washing machine and dryer are also available in the bathroom. Separate toilet room. From the hallway a fixed stairs to the very large roof terrace, where you can enjoy the sun and the beautiful view all day long.
There is a private parking space under the building and there is even a communal bicycle shed and you can reach the communal courtyard garden via the central entrance.
Overall, a wonderful apartment in a good central location in the center of Amsterdam, with various shops, restaurants and public transport options within walking distance!
This property can be rented by a tenant with their own sufficient monthly stable income from work and unfortunately not via a guarantor or a tenant who will not occupy the property himself."
https://www.pararius.com/house-for-rent/schagen/601dfb68/kievitlaan,"€1,850 per month",1742 AC (Waldervaart-Noordoost),142 m²,5 rooms,Upholstered,,,1971,,,,Present (229 m²),,A,,,,No,"Description
For Rent: Spacious Mid-Terrace House by the Water – Kievitslaan 85, Schagen
Are you looking for a spacious, modern home in a quiet and attractive neighborhood? This beautiful mid-terrace house at Kievitslaan 85 in Schagen offers you a wonderful place to live, with no less than 4 bedrooms and a stunning location right by the water. Perfect for families or couples who want to enjoy a peaceful living environment with plenty of amenities nearby.
The house features a large living room with plenty of natural light and a modern, fully equipped kitchen. The 4 spacious bedrooms provide ample room for a family, a home office, or hobby space. The bathroom is fully equipped, and the backyard offers a relaxing spot with a view of the water.
Layout:
Upon entering through the front door, you step into a spacious hallway that gives access to the modern toilet and a handy under-stair storage closet. The bright living room is generously sized and offers a beautiful view of the backyard and the water. Large windows allow plenty of natural light, making the living room an ideal place to relax or gather with family and friends.
The open kitchen is equipped with modern built-in appliances, including a dishwasher, refrigerator, oven, and stove. The kitchen provides plenty of cabinet space and a spacious countertop, perfect for those who love cooking. From the kitchen, you have access to the backyard, where you can enjoy a terrace overlooking the water.
First Floor:
The first floor features three spacious bedrooms, each with large windows and ample closet space. These rooms are ideal for use as a master bedroom, children's rooms, or a home office. The bathroom is spacious and modern, equipped with a shower, sink, and a second toilet, offering comfort and privacy.
Second Floor:
The second floor leads to the fourth bedroom, which benefits from extra light and space due to the dormer window. Additionally, extra storage space is available on this floor, ideal for storing seasonal items or hobby equipment.
About the Neighborhood and Schagen:
Kievitslaan is located in a quiet, family-friendly area of Schagen, surrounded by greenery and water. The neighborhood offers plenty of playgrounds and is popular with families. Nearby, you will find various amenities such as primary schools, sports facilities, supermarkets, and cozy dining options. The bustling town center of Schagen is just a short distance away and offers a wide range of shops, restaurants, and cultural activities.
Schagen is a charming town with a rich history. It is well-known for its weekly West Frisian market, where local traditions are celebrated, and its beautiful old town with lively terraces. Additionally, there are various events throughout the year, such as the annual fair and the Schagerpop music festival. For nature lovers, the beach at Callantsoog is only a 15-minute drive away, and the beautiful nature reserve of the Schoorlse Dunes is also easily accessible.
With excellent connections to Alkmaar, Den Helder, and Amsterdam, Schagen is an ideally located town for those who want the tranquility of a smaller place while still having easy access to larger cities.
Details:
Minimum rental period: 2 years
Available from [specify availability date]
Security deposit: €3,700
Excluding gas, electricity, water, and internet
Energy label: A
Are you looking for a home with plenty of space, comfort, and a beautiful location by the water? Contact us today for more information or to schedule a viewing!"
https://www.pararius.com/apartment-for-rent/amsterdam/8c0e1fa0/arent-janszoon-ernststraat,"€2,400 per month",1082 LK (Buitenveldert-West),75 m²,4 rooms,Furnished,,,1962,1,"Lift
Roof terrace
Shower
Toilet",Not present,,,C,Present,Yes,Permit,,"Description
Details:
• Size of the property: 75 m2
• Number of bedrooms: 3
• Number of bathrooms: 1
• Type of house: Apartment
• Construction year of the house: 1962
• Interior decoration: Furnished
• Flooring: Laminate
• Quality of public transportation: Good
Also in this rental house:
• Parking possibility: Parking in front of the building
• Separate shower
• Separate toilet
• Elevator
• 1st floor
• Big Terrace ( facing West )
Conditions:
• No pets
• Sharing not allowed
• No guarantors
• Tenancy agreements subject to owner’s consent
• Measurements not conform NEN 2580
The rental price of this house is exclusive Gas/Electricity/Water, TV/Internet and local Taxes. On top of the rental price comes an advance payment of €125,- euro per month for heating."
https://www.pararius.com/apartment-for-rent/breda/29366b8e/cosunpark,"€1,535 per month",4814 ND (Westerpark),80 m²,3 rooms,Shell,Unlimited period,,2024,1,,Present,Not present,,A++,Present,No,,No,"Description
General description of this property
We are very proud to offer you this residential complex with newly built flats. These energy-efficient flats will be completed in mid-November 2024. The complex is located at Cosunpark in Breda.
This 5-storey apartment complex comprises 24 homes, 18 of which are flats and 6 maisonette homes.
The 6 maisonettes are located on the ground floor and partly in the basement.
The 18 flats are located on the first, second and third floors of the complex.
All residences are equipped with 2 bedrooms, modern kitchen and a balcony or terrace.
The complex is also equipped with a lift, making all flats accessible to the disabled.
The flats are offered ‘as is’, giving you the opportunity to furnish the flat to your own taste. The walls are delivered with glass fleece wallpaper, the ceilings are sprayed and the bathroom is delivered with floor and wall tiles.
The complex is conveniently located with the motorway and the home furnishing boulevard around the corner and Breda's lively city centre within easy reach. Westerpark is also within walking distance.
If you already see yourself living here, leave your details with us quickly! The first viewing day will be organised at the beginning of NOVEMBER. We look forward to welcoming you!
Cosun Park location
Cosun Park will soon be a perfect location to live. Living close to the lively city centre while the surprisingly village-like Princenhage is just around the corner. You can get to the trendy Ginneken by bike in no time. Don't fancy the hustle and bustle? Then opt for a brisk walk in the Liesbos or Mastbos. Among the 500-year-old trees, you might spot a pine marten or deer.
Layout / description of the flats
Ground floor:
There is a general entrance that includes letterboxes and doorbells. From the entrance, all floors are accessible by stairs and lift.
Kitchens:
All kitchens are delivered with a modern look. In addition, the kitchens provide an induction hob, recirculation hood, fridge, dishwasher, combination oven, sink with mixer tap and various (drawer) cupboards.
Bathroom:
The bathrooms are delivered with a dark-coloured floor tile and white wall tiles. The bathroom is fitted with a shower, sink with mixer tap, mirror and towel radiator (in most flats).
Toilet:
The toilet room is completed with a floating toilet, hand basin, dark-coloured floor tile and white wall tiles. The walls are tiled half-high.
Living room:
The living room has large windows that provide plenty of light. The sliding doors provide access to the balcony.
Built-in storage/laundry room:
All flats are equipped with an indoor storage room where, among other things, the connections for washing machine/dryer are present and the WKO installation and distributor of the underfloor heating.
External storage room:
Each flat has a separate storage room in the basement. This space is ideal for storing bicycles.
Sustainable heat via Eteck
A home with Eteck. What do you get?
Eteck supplies sustainable heat to larger groups of customers. Not individually, but collectively they can make a difference. Underground, Eteck constructs a heat network to which your home is connected. They do this on behalf of the municipality, project developer, housing corporation or homeowner's association. This is possible for new and existing buildings.
Among other things, Eteck will install the following facilities in your home:
1. Heat to heat the rooms in your home;
2. Hot tap water;
3. Cold for space cooling in your home;
As a resident, you have access to your own portal via ******.
Here you can find, among other things, all information about your invoices, statements and consumption.
You will pay a monthly prepayment amount for use of these services and use of the heat/cold demand.
More information about Eteck can be found at ******.
Private parking space (optional)
You have the option of renting your own parking space in the underground car park in the complex next to Cosunpark VI. The parking spaces are offered including a charging point for electric cars.
These parking spaces are offered for €125.00 per month*.
*This underground car park will not be completed until 2025. If you would like to rent a parking space at the start of your lease, this is possible right next to the Cosunpark VI complex where a temporary car park is being built.
You will receive a discount on the parking space rent of € 50.00 per month for this temporary car park. As soon as the underground car park is ready, the temporary car park will also be removed.
Rental prices
Address Floor bare rent Housing area
Cosunpark 39 - 1st floor - € 1535.00 - 80.6 m2
Cosunpark 40 - 1st floor - € 1520.00 - 79.8 m2
Cosunpark 45 - 2nd floor - € 1535.00 - 80.6 m2
Cosunpark 46 - 2nd floor - € 1520.00 - 79.8 m2
Cosunpark 51 - 3rd floor - € 1550.00 - 81.5 m2
Cosunpark 52 - 3rd floor - € 1510.00 - 79.5 m2
Monthly service costs (VvE contribution)
In addition to the rent, you will also pay a fixed monthly service charge. These service charges amount to € 50.00 p/month.
These service charges include the following provisions:
- Electricity consumption of the common areas and facilities;
- Water consumption of the common areas
- Cleaning costs of the common areas;
- lift maintenance insofar as this is borne by the tenants
- Garden maintenance insofar as this is borne by the tenants
- 5% administration costs
The service costs charged are an estimate of the expected costs. As it concerns a newly built complex, the exact costs cannot yet be determined.
After the first and full calendar year, the service costs will be calculated and where necessary, the monthly amount will also be adjusted accordingly.
Additional information
- Newly built complex;
- The flats will be delivered with Energy Label A++ or A+++;
- Private parking possible
- Private storage room in basement;
- To your own taste to furnish;
- Available indefinitely;
- Available from mid-November 2024;
- Suitable for starters, seniors and everything in between!
Schedule a viewing
If we have aroused your interest with this ad and you would like to be invited for a viewing, please respond directly to this ad. You do need to register in advance on our website at: ******
The first viewing moments will be scheduled during October!"
https://www.pararius.com/apartment-for-rent/amsterdam/ffd686ac/jacob-van-lennepstraat,"€2,600 per month",1053 HA (Van Lennepbuurt),66 m²,3 rooms,Upholstered,,,1880,1,"Bath
Shower
Toilet",Present,,,B,,Yes,Public,,"Description
Lovely spacious UNFURNISHED 2 bedroom apartment with south-facing balcony.
SURROUNDINGS:
The cozy neighborhood, in between the Nassaukade and the Jacob van Lennepkade, is very popular. It has a village character, but you can walk to the Stadsschouwburg or the De la Mar, and you can walk straight into the Jordaan. But hip West is also within easy reach: the Hallen, the Ten Cate market, the Bilderdijkstraat, and so on. All convenience in the immediate vicinity. The street is quaint with beautiful classic houses. Around you, there is every conceivable public transport and it is also easily accessible by car.
LAY OUT:
Entrance on the 1st floor. At the front of the apartment is the bright living room with an open kitchen. The living room has a three windows wide view of the cozy street. In the spacious open kitchen with kitchen island, you can use a 5 burner gas hob, dishwasher, combi oven/microwave and fridge/freezer. The two spacious bedrooms are located at the back of the apartment. The children's room in the photos has now been changed into a second bedroom that is very suitable for guests or as a spacious office. Both bedrooms have access to the south-facing balcony. In the middle of the apartment is the bathroom with a walk-in shower, spacious bath and sink, but also a separate toilet and laundry room.
FEATURES:
Sheltered and central location
Furnished apartment
Energy label B, double glazing
Not suitable for sharing
Spacious south-facing balcony
Two bedrooms
Available immediately
Contact us for a viewing or check our website for current offers! We are happy to schedule a viewing with you in this lovely apartment. Let us know what suits you best and we will do our best to plan it."
https://www.pararius.com/apartment-for-rent/groningen/d0ff2fbe/jan-ensinglaan,"€1,295 per month",9744 GP (Hoogkerk-Zuid),95 m²,3 rooms,Furnished,,,2009,1,,,Not present,,A,,,,No,"Description
123Wonen The rental agent offers:
Spacious furnished apartment with energy label A.
Location: Jan Ensinglaan, Groningen (Hoogkerk)
SUMMARY
- Suitable for 1 person, a couple or small family
- Income requirement applicable: € 4.375,- gross
- Available from the 1st of November for minimal 12 months
Spacious furnished apartment for rent immediately for a fixed period of 12-24 months. The property is located in Groningen near Hoogkerk, facilities such as supermarkets, stores, sports facilities, recreational lake and bus service to the center are within walking distance. In addition, there is space for one car in the covered parking garage, under the building and roads like the A7 are nearby.
Interested? Please contact us to schedule a viewing!
LAY OUT
Ground floor: entrance: common porch
Third floor: entrance hall, spacious living room with open kitchen (with appliances) and access to the balcony, two bedrooms, bathroom and storage room.
GENERAL INFORMATION
- Fully furnished;
- Energy label A;
- For 1 person, a couple or small family;
- There is one parking spot available in the covered parking lot;
- Private bicycle storage
- Pets and smoking not allowed;
- Income requirement applicable.
RENTAL/PERIOD
Available from the 1st of November for minimal 12 months.
Rent price € 1,295, - excluding utilities. These contracts are in your own name.
Rent including depreciation furniture and soft furnishings: € 1.382,-.
Deposit: € 1.382,-
---
123Wonen Groningen acts as a rental agency for the owner. For this item, therefore, no mediation costs apply. If you want to rent after the tour, the first payment is € 150, this is to reserve the property.
Did you cancel your previous rental home or are you going to do it? Tell us your previous landlord and if 123Wonen can act as a rental agent, you will receive € 100, -.
Do you find this offer on a website other than 123Wonen? Check out our own website for the current offer: ******
For more information or a non-obligationary visit:
123Wonen Groningen
Kraneweg 23
9718 JZ Groningen
******"
https://www.pararius.com/apartment-for-rent/delft/830ceeb4/oude-delft,€810 per month,2611 BB (Centrum-Zuidwest),29 m²,1 room,Upholstered,,,1863,1,"Shower
Toilet",Not present,Not present,,E,,,,No,"Description
Are you interested in renting this property?
We ask you to send an email (******) to express your interest. In this email, we ask you to provide information about your current situation, such as your family, your financial situation and the reason you are looking for a new rental home.
In a beautiful, monumental canal house in the center of Delft located furnished studio with preservation of old details. The apartment is located at the rear of the complex on the second floor and is conveniently located in relation to the TU campus, restaurants, shops and within walking distance of the station, close to highways. Rent is € 810,- per month excluding € 195,- per month for the use of G/W/E, TV and internet connection, upholstery and use shared washer and dryer. Available from November 1st, 2024.
Layout:
Ground floor: entrance, shared hall.
Second floor: entrance apartment, living/bedroom with high ceiling and open kitchen with gas stove, extractor hood and refrigerator. Bathroom with shower, sink and toilet. Shared use of a washing machine/dryer on the floor.
Rental conditions:
Suitable for maximum 1 (working) person, or a couple, no students, PHD is possible
1 month deposit
Rent needs to be paid in advance
There will be no explanations regarding the selecting process
Minimum 12 months contract
1 month viewing rights at termination off the contract
Pets are not allowed
ROZ-rental contract (******)
No smoking and no changes can be made to the property (painting, drilling etc) without the written consent from the landlord.
As a tenant, you must be able to show that you are sufficiently, financially stable throughout the entire length of the rental agreement.
From this offer from which no rights can be obtained, since changes are possible
Are you interested in renting this property? We ask you to send an email (******) to express your interest. In this email, we ask you to provide information about your current situation, such as your family, your financial situation and the reason you are looking for a new rental home.
We select the best three to ten candidates which we then invite for a viewing. After the viewing, you must also let us know by e-mail whether you are actually interested in renting the house. We will submit your request to the landlord. If you did not hear anything from us after 3 working days, unfortunately, you have not been selected for the viewing round.
If the owner confirms the deal we will draft a rental contract (Model Council of Immovable goods: ******) We present you a concept via email and schedule an appointment for signing the contract and also an appointment for inspection of your new home. We will inspect the place together with you and if all is well you receive the key."
https://www.pararius.com/apartment-for-rent/deventer/9d33f0e0/godebaldstraat,"€1,250 per month",7415 ZM (Landsherenkwartier),92 m²,3 rooms,Upholstered,,,1999,1,,,Not present,,A,,,,No,"Description
Lovely apartment for rent in Deventer with 2 bedrooms in the Landsherenkwartier district."
https://www.pararius.com/room-for-rent/zwolle/4276163d/zuiderkerkstraat,€695 per month,8011 HG (Stationsbuurt),22 m²,1 room,Shell,,,,,,Not present,Not present,,,Not present,No,,No,"Description
Comfortable room for rent in Zwolle in the Stationsbuurt district."
https://www.pararius.com/house-for-rent/amstelveen/0fce74ee/van-der-veerelaan,"€4,250 per month",1181 PZ (Kruiskerkbuurt),179 m²,6 rooms,Upholstered,,,1939,2,"Bath
Shower
Toilet",Not present,"Present (49 m², located on the west)",achtertuin,C,,,,Yes,"Description
This beautiful, well-maintained 1930s home is now for rent at one of the most desirable locations in the Elsrijk district on the quiet Van der Veerelaan. A lovely family home (179m2) with five bedrooms, two bathrooms, west-facing garden and private garage! Energy label C.
The house features a bright and spacious living room with large windows that allow plenty of natural light, creating a warm and inviting atmosphere. Next to the living room, you will find a fully equipped kitchen with ample storage, contemporary appliances like a dishwasher, gas cooking, oven, fridge/freezer, and a dining area. In the hallway is also a separate toilet.
There are five generously sized bedrooms, ideal for a family or as home offices. On the first floor you will find 3 bedrooms and the first bathroom. The first-floor bathroom has a shower, toilet, bathtub, bidet and washbasin.
On the second floor you will find 2 good sized bedrooms, a storage room and a bathroom with a shower, toilet, washbasin and washer and dryer.
The backyard is a private, well-maintained garden, perfect for relaxing, entertaining, or enjoying outdoor activities with the family. Behind the garden is a garage with plenty of storage.
Location
Van der Veerelaan is situated in a prime location in Amstelveen, known for its excellent amenities and high quality of life. The property is within walking distance of shopping centers, including Stadshart Amstelveen. The Amsterdamse Bos and various local parks are also within walking distance. As for public transport, there is excellent connectivity with easy access to bus and tram services, as well as the A9 motorway, making commuting to Amsterdam and surrounding areas convenient.
Viewings by appointment. Please contact us through this website.
Are you relocating to The Netherlands? Urban Homies can assist you and your employees. Visit our website for more information."
https://www.pararius.com/apartment-for-rent/dronten/a20f9d6b/het-ruim,"€2,020 per month",8251 EN (Centrum Dronten),47 m²,2 rooms,Upholstered or furnished,,,1963,1,"Cable TV
Mechanical ventilation
Shower
Toilet
Laundry room",Present,Not present,,,,Yes,Public,No,"Description
Nice furnished apartment with balcony for rent in Dronten with 1 bedroom in the Centrum Dronten district."
