Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving
https://www.pararius.com/apartment-for-rent/den-haag/964d3e02/jan-bronnerstraat,"€1,009 per month",,2552 WX (Houtwijk),62 m²,2 rooms,,,1984,1,,Not present,Present,A,,No,,,"Description
Beautiful apartment with garden for rent in Den Haag with 1 bedroom in the Houtwijk district."
https://www.pararius.com/house-for-rent/sittard/2d9d71f1/dr-schaepmanstraat,"€1,300 per month",,6136 EV (Baandert),115 m²,4 rooms,,,1956,1,"Storage space
Toilet",Not present,,F,,,,,"Description
Well-maintained, fully furnished semi-detached house, quietly located and within walking distance of the center of Sittard.
LAYOUT
Ground floor:
Entrance/spacious hall with toilet and meter cupboard. Toilet room with toilet and sink.
Spacious L-shaped living room with sliding doors to the garden and closed kitchen with a separate combi oven, dishwasher, built-in refrigerator, hob and extractor.
Internal utility room / garage where the washing machine and dryer are located as well as a separate fridge-freezer combination.
1st floor:
The landing provides access to the 3 bedrooms and the neat bathroom.
Particularities:
fully furnished;
Unfortunately, pets are not allowed here.
Not suitable for families with young children.
Rental details:
The rental price incl. furniture, G/W/E, garden maintenance & TV signal/internet is € 1725,- per month.
Deposit is €2600,-
Minimum rental period is 12 months."
https://www.pararius.com/apartment-for-rent/roermond/e2925b01/willem-ii-singel,"€1,250 per month",Excludes: Service costs,6041 HS (Binnenstad),104 m²,3 rooms,"Monumental building, Protected townscape",Unlimited period,1926,1,,Not present,Not present,C,Not present,No,,No,"Description
For Rent: Charming Ground-Floor Apartment on the Popular Willem II Singel 16a, Roermond
Looking for a comfortable apartment in the heart of Roermond? This charming 4-room ground-floor apartment on the Willem II Singel offers the perfect combination of peace, space, and proximity to all amenities. Located within walking distance of the city center, the train station, and the Designer Outlet, this apartment is an excellent choice for those who enjoy vibrant city life.
Layout of the apartment:
Living Room: Spacious and bright living area of approximately 39 m²
Kitchen: Separate kitchen with modern induction cooktop and exhaust system
Bedroom: Generous bedroom of approximately 14 m²
Bathroom: Large walk-in shower, washbasin, and separate toilet
Details:
Rent: €980 per month, excluding utilities (gas/water/electricity), TV, and internet
Service costs and furnished living: €270 (total rent: €1,250)
Rental period: Minimum of 12 months, with the option for an indefinite contract afterward
Deposit: One month’s rent
Available: December 1
Are you interested in this ground-floor apartment with every convenience within reach? Contact us quickly for more information or to schedule a viewing.
Note: Live in one of Roermond’s most desirable locations – act fast!"
https://www.pararius.com/apartment-for-rent/yerseke/241edb7e/grintweg,"€1,385 per month",Excludes: Service costs,4401 NE (Yerseke - West),90 m²,3 rooms,,Temporary rental,1995,1,"Intercom
Internet connection
Shower
Toilet",Not present,Not present,A,Present,Yes,On private land,No,"Description
Spacious and luxurious apartment with roof terrace, storage room and parking space, located in Yerseke, 15 minutes from Goes and available for up to 6 months.
Includes:
Ground floor: private storage room and main entrance.
First floor: Entrance/hall with closet space with washing machine. Spacious living room with green views and luxurious open kitchen (fully equipped). Two bedrooms, 1 with a double bed and 1 with a single bed. Spacious bathroom with shower and double washbasin. Separate toilet. The roof terrace gives you the opportunity to sit outside.
There is on-site parking and a private external (bicycle) shed.
The apartment is well insulated and is delivered completely new with furniture and inventory.
Location:
This small-scale apartment complex is located in Yerseke. Beautiful Yerseke is of course known for its mussel and oyster culture, but it offers much more besides. There are several shops, a supermarket and restaurants in the village. The dike also has a number of nice places and there is also a lot of greenery to be seen.
In less than 10 minutes you will find yourself on the A58 towards Walcheren or towards Bergen op Zoom.
Key features:
Available for up to 6 months
Smoking and pets only allowed
Minimum income requirement 3x the monthly rent
The reimbursement for use of gas, water and electricity, television, internet, homeowners' association and taxes is € 215.00 per month.
For more information and to plan a visit, send us an email to ******."
https://www.pararius.com/apartment-for-rent/rotterdam/64890861/schalkeroord,"€1,100 per month",Includes: Service costs,3079 WC (Groot IJsselmonde),65 m²,3 rooms,,,1965,,,Present,,C,,,,,"Description
Nicely furnished three room apartment on the first floor. The apartment is located in the IJsselmonde district, a stone's throw from the Keizerswaard shopping center. Bus 76 also stops within walking distance and several roads such as the A16 and A15 are very close.
Layout: Communal entrance on the ground floor with mailboxes and doorbells, stairs to the first floor. The hall has a gray tiled floor giving access to all rooms. The spacious living room has laminate flooring and is fully furnished. Through the living room there is access to a spacious bedroom which is equipped with a double bed and wardrobe. The modern kitchen is equipped with various built-in appliances such as a fridge freezer, gas hob, oven and a dishwasher. Through the kitchen there is access to the balcony at the front. The large bedroom has a double bed and wardrobe and offers access to the second balcony at the rear. The modern bathroom in light colors has a spacious walk-in shower, washbasin furniture with mirror and a washing machine. Separate toilet. Available for students "
https://www.pararius.com/apartment-for-rent/gouda/0e86fbe4/vredebest,"€1,205 per month",Excludes: Service costs,2801 AS (Nieuwe Park Oost),64 m²,2 rooms,,Unlimited period,1950,1,"Shower
Toilet",Not present,Not present,A+,Not present,Yes,Paid,No,"Description
For Rent: Luxury Apartment in the Heart of Gouda
Discover this beautiful, fully renovated (2024) apartment on Vredebest in Gouda. This residence combines character with modern luxury, offering everything you need for a comfortable and energy-efficient lifestyle. With an A+ energy label and high-quality finishes, this apartment presents a unique opportunity for anyone seeking a move-in-ready home.
Location:
This apartment is situated in a prime location in the heart of Gouda, in a vibrant and welcoming neighborhood within walking distance of shops, restaurants, and Gouda's historic city center. Public transport and main roads are also nearby, making it easy and convenient to reach any destination.
Layout:
Upon entering, you are welcomed into a bright and open living room. The living space is enhanced by laminate flooring and features underfloor heating that can also cool during the warmer months.
Adjacent to the living room is a modern, semi-open kitchen, fully equipped with all conveniences. The kitchen includes a dishwasher, combination oven, refrigerator, freezer, and induction hob—ideal for cooking enthusiasts.
The living room also leads to the spacious bedroom, which has a skylight providing beautiful natural light—a peaceful oasis in the heart of the city.
The bathroom is stylishly finished and features underfloor heating, a walk-in shower, a toilet, and a sink.
Rental Price: €1,205 per month
Excluding Utilities (G/W/E)
Service costs: €25 per month
Deposit: 2 months' rent
Please respond online only!"
https://www.pararius.com/apartment-for-rent/enschede/3ab9f0d7/piet-heinstraat,"€1,250 per month",Excludes: Service costs,7511 JE (City),110 m²,2 rooms,,Unlimited period,1980,1,,Not present,Not present,,Not present,No,,No,"Description
Apartments available on Piet Heinstraat.
Available from the 1st of January.
Description of the apartment:
Apartment with two bedrooms, a small storage and bathroom. Living room with open kitchen. The kitchen is equipped with built-in appliances (electric hob, extractor hood, dishwasher, fridge-freezer). Bathroom with walk-in shower, sink, mirror cabinet and washing machine.
The apartment is located on Piet Heinstraat, which is right in the center next to Enschede station.
The photos in the advertisement are of a similar apartment.
Features:
Rent includes gas, electricity and water.
Separate bathroom.
Parking available at extra costs.
The apartment is furnished.
If interested, please send a message via Pararius!"
https://www.pararius.com/apartment-for-rent/yerseke/0e2639ca/grintweg,"€1,385 per month",Excludes: Service costs,4401 NE (Yerseke - West),86 m²,3 rooms,,Temporary rental,1995,1,"Intercom
Internet connection
Shower
Toilet",Not present,Not present,A,Present,Yes,On private land,No,"Description
Spacious and luxurious apartment with roof terrace, storage room and parking space, located in Yerseke, 15 minutes from Goes and available for up to 6 months.
Includes:
Ground floor: private storage room and main entrance.
First floor: Entrance/hall with closet space with washing machine. Spacious living room with green views and luxurious open kitchen (fully equipped). Two bedrooms, 1 with a double bed and 1 with a single bed. Spacious bathroom with shower and double washbasin. Separate toilet. The roof terrace gives you the opportunity to sit outside.
There is on-site parking and a private external (bicycle) shed.
The apartment is well insulated and is delivered completely new with furniture and inventory.
Location:
This small-scale apartment complex is located in Yerseke. Beautiful Yerseke is of course known for its mussel and oyster culture, but it offers much more besides. There are several shops, a supermarket and restaurants in the village. The dike also has a number of nice places and there is also a lot of greenery to be seen.
In less than 10 minutes you will find yourself on the A58 towards Walcheren or towards Bergen op Zoom.
Key features:
Available for up to 6 months
Smoking and pets only allowed
Minimum income requirement 3x the monthly rent
Costs for gas, water, electricity, tv, internet: € 215,00 a month
For more information and to plan a visit, send us an email to ******."
https://www.pararius.com/apartment-for-rent/maastricht/179820aa/burgemeester-michiels-van-kessenichpassage,"€1,085 per month",Excludes: Service costs,6224 EJ (Wittevrouwenveld),49 m²,2 rooms,,Unlimited period,1949,1,"Fibre-optic connection
Shower
Toilet",Not present,Not present,A+++,Not present,No,,No,"Description
For Rent: Modern Apartments in Historic Building – Available from 01-11-2024
Location: Burgemeester Michiels van Kessenichpassage 2A11 and 2A15, Maastricht
Old Skool Maastricht offers beautifully furnished studios (35m²) and 1-bedroom apartments (49m²), each with a private entrance, modern kitchen, and bathroom. Both studios and apartments feature mezzanines, high ceilings, and preserved original flooring, blending the building’s historical charm with modern comforts. These homes are also eco-friendly, combining sustainability with style.
Key features:
- Fully furnished with modern interiors
- Contemporary kitchen with ceramic cooktop, combi-microwave, extractor fan, and built-in fridge with freezer compartment
- Stylish bathroom with large mirror, sink, toilet, and shower
- Energy-efficient (gas-free, A+++ rating)
- Air conditioning
- Shared laundry room (paid)
- Outdoor bike storage
- Optional parking (available for rent)
- Minimum lease term: 12 months
- Pets not allowed
Perfect for young professionals, PhD students, and couples (max. 2 people).
Apartment details:
- Living room with kitchen: 23.2 m²
- Bathroom: 2.3 m²
- Bedroom: 14 m²
- Mezzanine: 9.5 m²
- Total: 49 m²
Enjoy modern convenience with the charm of the past. With a shared laundry facility, a nearby supermarket, and Central Station within reach, these apartments offer the perfect blend of history and contemporary living.
For more information, contact us today!"
https://www.pararius.com/apartment-for-rent/enschede/9f900b15/beltstraat,"€1,100 per month",Excludes: Service costs,7512 AC (Getfert),80 m²,2 rooms,,Unlimited period,1964,1,,Not present,Not present,,Not present,No,,No,"Description
Apartment available on Beltstraat
Spacious apartment of 80m2 with two bedrooms
Available from the 1st of January 2025
Description of the apartment:
An apartment with two bedrooms, bathroom and living room with an open kitchen. The kitchen is equipped with built-in appliances (electric hob, extractor hood, dishwasher and fridge-freezer). The bathroom has a walk-in shower, sink, and a closet. Set-up space for washer/dryer in a separate room.
The photos in the ad are of a similar apartment.
Features:
rent does not include;
rent allowance not applicable;
separate bathroom;
suitable for 2 persons;
If you are interested, please send a message via Pararius!"
https://www.pararius.com/apartment-for-rent/maastricht/fa52a036/maastrichter-pastoorstraat,"€1,195 per month","Includes: Service costs, Water",6211 BV (Boschstraatkwartier),45 m²,2 rooms,,Temporary rental,1990,1,"Shower
Toilet",Not present,Not present,C,Present,No,,No,"Description
NOT FOR STUDENTS - 1 PERSON ONLY / GEEN STUDENTEN - SLECHTS 1 PERSOON
FOR ENGLISH, SEE BELOW
In het centrum van Maastricht, op steenworp afstand van de Markt ligt dit sfeervolle appartement met een zeer groot zonnig terras. De woning is volledig gemeubileerd en kijkt uit op de St. Matthiaskerk.
De gezamenlijke ingang brengt u naar de 2de verdieping waar het appartement is gelegen. De hal (3m²) geeft toegang tot de woonkamer (17m²) en heeft veel grote ramen waardoor er veel natuurlijk licht is en een mooi uitzicht.
De keuken (6m²) is in een hoek gelegen van de woonkamer en is voorzien van alle moderne apparatuur zoals een vaatwasser, ijskast met diepvriesvak, gaskookplaat, afzuigkap, conventionele oven en combimagnetron.
Vanuit de woonkamer/keuken heeft u toegang tot het zeer rustige en zonnige terras (26m²) welke op het Zuiden is gelegen. Er is veel privacy en er staat o.a. een luxe loungebank.
Terug in de hal heeft u toegang tot de slaapkamer (12m²) met aansluitend de badkamer (4m²) voorzien van een douche, wastafel met meubel, twee droogrekken, een wasmachine en een droger. De separate toiletruimte (2,5m²) is ook bereikbaar vanuit de hal en achter een gordijn hangt de CV installatie en vindt u extra opbergruimte.
BIJZONDERHEDEN:
- door het gehele appartement ligt een lichte, houten vloer;
- het appartement is volledig gemeubileerd, zo ook het dakterras;
- in de kelder heeft u een eigen privé berging (6m2) welke met de fiets gemakkelijk te bereiken is;
- de huurprijs is incl. het verbruik van water;
- parkeren kan met de gemeentelijke vergunning ‘centrum’ of via een abonnement in Q-park Mosae Forum, op 1 minuut wandelafstand.
Prijs: €1.195,- /mnd (excl)
Voorschot gas & elekra: €135,- /mnd
Vaste kosten (wifi en gemeentebelastingen): €105,-/mnd
Borg: € 2000.00
Beschikbaar per: 18-11-2024
Interieur: Gemeubileerd
Oppervlakte: 45m2
Slaapkamers: 1
-----------------------------------------------------------------------------------------------------------------------------------------------------------------
This charming, fully furnished apartment has a very large and sunny terrace. It has a marvelous view towards the church ‘St. Matthias’, is located in the heart of the city center and is just a few steps away from the Market. The area is called ‘Boschstraat quarter’ and is known as a quiet, peaceful area.
The common entrance brings you to the 2nd floor. The hallway (3m²) gives you access to the livingroom (17m²). Due to the large windows there's a lot of natural light.
The kitchen (6m²) is equipped with all necessary equipment: a dishwasher, refrigerator with freezer department, gas stove, suction hood, oven and a microwave.
Via the kitchen/living you have access to the large terrace (26m²), oriented to the South with a lot of privacy and a luxurious lounge sofa.
Back in the hallway you will enter the bedroom (12m²) including the bathroom (4m²) with a shower, sink, cabinet, washing machine, dryer and drying racks. The separate restroom (3m²) is also accessible via the hallway and behind the curtain you find the heating system and storage space.
DETAILS:
- in the whole apartment, you find a light colored wooden floor;
- fully furnished including the terrace;
- in the basement you find your own private storage (6m2) which is easily accessible by bike;
- the rent includes water usage;
- parking is easy with the municipality license ‘city center’ or possible with a subscription to Q-park Mosae Forum at a 1-minute walking distance.
Price: €1.195,- /mo (excl)
Deposit gas & electricity: €135,- /mo
Fixed costs (wifi en municipality taxes): €105,-/mo
Deposit: € 2000.00
Available as of: 18 November 2024
Interior: Furnished
Surface: 45m2
Bedrooms: 1"
https://www.pararius.com/apartment-for-rent/enschede/23d83905/oldenzaalsestraat,"€1,050 per month",Excludes: Service costs,7514 DV (De Laares),40 m²,2 rooms,,Unlimited period,1975,1,Fibre-optic connection,Not present,Not present,A+,Not present,Yes,,No,"Description
Apartment of over 40m2 with one bedroom on Oldenzaalsestraat available
Available from the 1st of December 2024
Description of the apartment:
The apartment is on the first floor with bedroom and bathroom. Living room with open kitchen. The kitchen is equipped with built-in appliances (electric hob, extractor hood, dishwasher, fridge-freezer). Bathroom with walk-in shower, sink and mirror cabinet. The studio is heated by underfloor heating.
The studio located on the Oldenzaalsestraat, this is just steps away from the center.
The pictures in the ad are of a similar apartment.
Features:
rent is exclusive;
bathroom in the bedroom;
new construction (2020);
suitable for one person or a couple;
If you would like to visit the apartment, please let us know!"
https://www.pararius.com/apartment-for-rent/hengelo/25343e41/wilderinksstraat,"€1,240 per month",Excludes: Service costs,7555 DS (Nijverheid),130 m²,3 rooms,"Accessible for disabled people, Accessible for seniors",,2005,1,"Cable TV
Mechanical ventilation
Awnings
Blinds
Shower
Storage space
Toilet
Laundry room",Present,Not present,A,Present,Yes,Public,Yes,"Description
Conveniently located apartment with balcony for rent in Hengelo with 1 bedroom in the Nijverheid district."
https://www.pararius.com/house-for-rent/zwolle/eaca39d4/verenigingstraat,"€1,250 per month",,8012 BC (Oud-Assendorp),89 m²,4 rooms,,,1905,1,,,Not present,C,,,,No,"Description
123Wonen Rental Agency Zwolle offers:
In the always cozy and sought after neighborhood Assendorp comes this nice townhouse with lovely backyard for rent. Close to the bustling center of Zwolle and the station. Ideally located with all major amenities (the Assendorperstraat literally!) Around the corner and near several highways. A very nice furnished, just finished house with 3 bedrooms on a top location!
LAYOUT
Entrance hall, modern toilet. Bright, cozy living room with dining area and open kitchen. Neat, modern kitchen with gas hob with extractor hood, oven, dishwasher and separate American fridge with freezer. The utility room has both a washing machine and a dryer.
Second floor
Spacious, bright master bedroom. Two small (bedroom) rooms. Tight, modern bathroom equipped with shower, bathtub, washbasin and toilet.
The house has a lovely back garden and parking is available in the street!
DETAILS
Please note: this is a temporary and fully furnished property.
- Available per 10 January 2024
- For rent for 7 months: until July 15th 2025 (NO extension possible!)
- Rental price: € 1250,00 per month
- Advance gas, water and electricity: € 200,00 per month
- Furniture: € 50,00 per month
- Television/internet: € 60,00 per month
- Fee municipal taxes: € 35,00 per month
- Deposit: 1 month rent
- NO commission for the tenant! 123Wonen works as a rental agent for the landlord.
Do you find this property on a website where we advertise?
Check our own website: ****** for our current offer!"
https://www.pararius.com/house-for-rent/zwolle/ee4562b4/rozenstraat,"€1,003 per month",,8012 DW (Nieuw-Assendorp),92 m²,1 room,,,1905,,,,Not present,F,,,,No,"Description
123Wonen The rental agent of Zwolle offers:
Are you looking for a comfortable, move-in-ready home in a lively and central neighborhood? Then this beautiful house on Rozenstraat in Assendorp is exactly what you’re looking for! This charming, fully furnished home is available from January 6th for a one-year rental period and offers everything you need for a hassle-free stay. Whether you are a professional temporarily working in Zwolle or simply looking for a stylish, well-maintained home, this place has it all.
With modern amenities, a bright and spacious layout, and a peaceful garden, you will feel right at home. Additionally, the house enjoys an excellent location, within walking distance of the city center, shops, parks, and public transport.
LAYOUT
Entrance, hallway with staircase, and access to the living room. Spacious, bright living room with beautiful wooden flooring, cozy wood stove, and French doors opening to the garden. Modern kitchen with all necessary built-in appliances. Utility room equipped with a washing machine and additional kitchen appliances. Modern toilet.
First floor
Landing, large master bedroom with built-in wardrobe, second bedroom, and modern bathroom fitted with a bathtub with shower, washbasin, and toilet.
The property includes a lovely backyard with a terrace and an attached garage.
DETAILS
- Available from January 6th, 2025
- Rental period until the 1st of August 2025 (extension NOT possible!)
- Base rent: € 1002,61 per month
- Advance payment for gas, electricity, and water: € 200,00 per month
- Furnishing: € 150.00 per month
- Internet and TV: € 70,00 per month
- Fixed fee for municipal taxes: € 35,00 per month
- Security deposit: 1 month's rent
- NO brokerage fee for the tenant! 123Wonen works as a rental agent for the landlord
Do you find this offer on another website? Check our own website for up-to-date offers: ******.
Are you an expat living abroad and looking for a new home in or around Zwolle?
Have a look on: ******.
We can help you with finding a new home beyond our own offers!
Should you need any further information, or would you like to plan a viewing? Do not hesitate to contact us!"
https://www.pararius.com/apartment-for-rent/groningen/bdaf141b/boterdiep,"€1,099 per month",Excludes: Service costs,9712 LP (Hortusbuurt-Ebbingekwartier),65 m²,2 rooms,,Temporary rental,1890,,,Not present,Not present,B,Not present,No,,No,"Description
Beautiful apartment for rent in Groningen with 1 bedroom in the Hortusbuurt-Ebbingekwartier district."
https://www.pararius.com/house-for-rent/middelburg/58ef181c/prinsenhove,"€1,335 per month",Excludes: Service costs,4336 HE (Magistraatwijk III),110 m²,5 rooms,,Unlimited period,1970,1,"Shower
Toilet",Not present,"Present (48 m², located on the south-east)",C,Present,Yes,Public,No,"Description
Nice single-family home in a nice spot next to a park with an unobstructed view. The house is spacious and has 4 spacious bedrooms, a conservatory linked to the sunny backyard with free back entrance and a separate storage room adjacent to the firebreak.
Includes:
Ground floor: Spacious hall with toilet and staircase. Spacious living room with sun blinds and a view of the park in front. The kitchen with sufficient space for your white goods and with access to the spacious conservatory where you can relax early in the year.
First floor: Landing. Three remarkably spacious bedrooms, 2 with spacious fitted wardrobes. A compact but neat shower room with a sink and a second toilet.
Second floor (accessible via staircase): landing with central heating system and spacious 4th bedroom with dormer window and plenty of storage space.
There is a sunny backyard with storage and free back as well as a nice front garden.
Location:
The house is located in the Magistraatwijk, this is a neighborhood with many amenities, including a large shopping center with a variety of shops, various primary schools, childcare, churches and a community center. The district borders the large city park ""het Meiveld"" where there is also a playground and petting zoo. In short, a nice and child-friendly neighborhood!"
