Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Interieur,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten verwarming,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max,Punten zonder CAP,Overige punten,Punten (checked),Redelijk
https://www.pararius.com/house-for-rent/oegstgeest/ac2b342b/piet-heinlaan,1288.0,Excludes: Service costs,2341 SN,72.0,3.0,,Shell,,1957.0,1.0,,,Present,,,,,,"Description
In the beautiful residential area on the Hazenboslaan, we offer this spacious ground floor flat with front garden and backyard. In this quiet, green and blended neighbourhood right on the 'Hofbrouckerpark', you will find things in the immediate vicinity that make everyday life comfortable. The area is very well known and is situated right next to the beloved old centre of Oegstgeest.
Ground floor: An entrance to the house with a spacious hall. From the hall you can enter the living room and bathroom. The living room is very bright and has a good size. At the rear of the house is the kitchen, which is equipped with a gas cooker, extractor and connection for washing equipment. From the kitchen you can reach the backyard. At the rear of the house is also a work/bedroom located with access to the bathroom. The bathroom has a toilet, shower and washbasin.
First floor: A staircase with entrance to the landing. There is also a spacious second bedroom on the first floor. This bedroom is very bright and spacious and has a large dormer window. The house also has a shared bicycle storage.
Specifications:
- Green surroundings
- Located in the Hofbrouckerpark
- Beautiful view over the park
- Shared bicycle shed
- No pets
- Non-smoking house
- The rental price is excluding G/W/E/TV/Internet and municipal taxes and excluding service costs.
- Allocation subject to approval by the landlord",False,,Zeeheldenbuurt,oegstgeest,371000.0,67.5,9.0,8.0,2.0,-15.0,0.0,0.75,47.501213,False,111.77,39.51790029,119.751213,8.0,119.77,False
https://www.pararius.com/apartment-for-rent/rotterdam/23c818b6/dordtselaan,1375.0,Excludes: Service costs,3073 GE,58.0,2.0,,Upholstered,Unlimited period,1933.0,1.0,,Present,Not present,C,Not present,No,,No,"Description
Nice apartment with balcony for rent in Rotterdam with 1 bedroom in the Bloemhof district.",False,,Bloemhof,rotterdam,212000.0,54.375,6.0,4.0,2.0,22.0,0.0,0.0,29.96145159,False,118.34,29.96145159,118.3364516,,118.34,False
https://www.pararius.com/apartment-for-rent/den-haag/fd66e6b7/loosduinsekade,1300.0,Excludes: Service costs,2571 CM,78.0,4.0,,Upholstered,Unlimited period,1926.0,1.0,,Present,Not present,,Not present,No,,No,"Description
Modern renovated apartment close to Den Haag HS | Students only
Lay out
3 bedroom apartment of ca.78 m2 on the second floor with a nice balcony
Lovely bright living room of 8 m2
3 bedrooms ( c. a.16, 16, 12 m2)
Kitchen with gas stove and cookerhood
Modern bathroom with walk-in shower, washstand and heater
Separate toilet
Balcony
Double glazed
Unfurnished
Location
The apartment is located in a peaceful neighbourhood nearby the popular Heesterbuurt/ Valkenboskwartier.
The city centre and beach are close by (c. a.10 minutes by bike). For your daily groceries, there is shoppingmall with several supermarkets on walking distance. Other supermarkets are also very close. Whenever you feel like going for a walk, you can go to Zuiderpark.
Rental information
The rental price of this apartment is: 1300,- (exclusive)
Electricity, gas, water, internet/television are not included.
Deposit is €2300,-
Availability: immediately
Only eligible for students
Perfect for a friends' group of 3 people! Please send us a message with a short introduction if you are interested.
--Appointment and applications only by e-mail--",False,,Rustenburg,den haag,402000.0,73.125,12.0,8.0,2.0,-15.0,0.0,0.0,49.5058784,False,122.9,42.77818987,129.6308784,,122.9,False
https://www.pararius.com/apartment-for-rent/doetinchem/75df87fe/vondelstraat,1200.0,Excludes: Service costs,7002 AT,69.0,3.0,,Upholstered,,1965.0,1.0,"Bath
Lift
Mechanical ventilation
Shower
Toilet
Laundry room",Present,Not present,D,Present,Yes,Public,No,"Description
This beautiful 3-room flat on Vondelstraat 29 in Doetichem is available immediately. The flat has recently been completely renovated with a new bathroom and toilet, new flooring, curtains and lighting.
Layout:
The property consists of three rooms, two of which are bedrooms. In addition, a bathroom and a separate toilet can be found in the house.
Furniture:
The following furniture can be found in the property which can be rented inclusive.
Location:
The flat is located in a quiet, green area but just steps away from the city centre.
Financial:
€1,200 euros bare rent
€ 100 euro furniture
Excluding utilities
Suitable for:
Expats",False,,Schrijvers en dichtersbuurt,doetinchem,195000.0,64.6875,9.0,8.0,2.0,14.0,0.0,0.0,25.34099108,False,123.03,25.34099108,123.0284911,3.5,126.53,False
https://www.pararius.com/apartment-for-rent/rotterdam/adc0f070/vierambachtsstraat,1295.0,Excludes: Service costs,3023 AT,30.0,2.0,,Furnished,Temporary rental,1909.0,1.0,,Not present,Not present,A,Not present,Yes,Paid,No,"Description
Fully renovated and furnished 2 bedroom apartment in prime location!
**Apartment will be fully furnished, impression in pictures**
Rental price: €1295,00 excluding G/W/E, internet/tv and municipal taxes
State: Furnished (impression of furniture in pictures)
Available from: 01-11-2024
Rental period: 6-12 months (shortstay)
Highlights:
- Ideal location
- Completely renovated and furnished
- Separate bedroom
- Luxury bathroom and kitchen.
The property:
The living room and open kitchen have large windows, from the living room you can reach both the new bathroom and bedroom. The toilet is located in the hallway. All facilities are private!
Location:
Rotterdam-West / Middelland is a city neighborhood with authentic stores, coffeeshops and restaurants. In addition, there are beautiful canals and spacious (play) squares on the Heemraadssingel. The Erasmus MC is also a short distance away. Added to this, the house is conveniently located to the city center. Public transport - including metro station Coolhaven 300 m - and the highways (A13/A20) are a short distance from the house, but also walking and / or cycling, the city center and Central Station are easily and quickly accessible.
For this property please contact HouseHunting Rotterdam
Although this text has been prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary, depending on profile. No pets allowed. No smoking. Lease by its nature of short duration. General conditions of ROZ apply.",False,,Nieuwe Westen,rotterdam,351000.0,28.125,6.0,4.0,-5.0,41.0,0.0,0.0,75.09170306,False,123.37,49.24151201,149.2167031,2.25,125.62,False
https://www.pararius.com/apartment-for-rent/veldhoven/96bafeff/dorpstraat,1275.0,,5504 HA,50.0,2.0,,Furnished,Temporary rental,2015.0,1.0,,,,D,,,,,"Description
SHORTSTAY APARTMENT IN VELDHOVEN
Furnished new apartments in the heart of Veldhoven Village, located right on the village square and the a river. Within cycling distance are the business park run by ASML and the Hospital and a bus stop (with fast connections to Eindhoven) at 50 meters.
--> Note: this rental price is excluding VAT
Division
The ground floor restaurant Brown's / breakfast - lunch - dinner
This striking new building was designed and built on a former tannery.
The nostalgic authentic feel to the exterior is combined with a warm living room atmosphere inside
Ground floor:
Main entrance with access to common corridor on the first floor.
1st floor
Entrance hall, cloakroom toilet. Spacious living room. New modern design with lounge and dining table.
Open kitchen with dishwasher.
Bathroom with separate shower.
Stairs from the living room to the loft where to double bed, wardrobe and workplace. Unobstructed view through the large skylights.
Ideal for 1 to 2 persons.
Maximum rental period of 6 months.",False,,Veldhoven,veldhoven,442000.0,46.875,6.0,8.0,0.0,14.0,0.0,1.5,68.60262009,False,124.22,47.84261463,144.9776201,,124.22,False
https://www.pararius.com/apartment-for-rent/tilburg/a88cc96e/fatimastraat,1370.0,"Includes: Internet, Service costs",5021 AN,75.0,1.0,,Upholstered,Unlimited period,1986.0,1.0,,,,,,,,,"Description
Available Dcember 1st 2024
Maximum 2 people can register at this address.
Pay attention: The photos are taken in simal apartment, more photos will be following soon.
Apartment Fatimastraat 24-10
Location in complex: second floor
Viewings daily possible!
Multiple apartment at this perfect location near the center of Tilburg. The apartment is produced in an authentic property in the center of Tilburg.
Description:
Apartment located in near the heart of the center.
This nice apartment is provided with an atmoshperic living room, nice open kitchen, bathroom and separate bedroom.
The open kitchen is provided with refrigerator, oven, electric cooking range, dishwasher and extractor fan.
The spacious living room is provided with atmospheric flooring and open kitchen.
The apartment has a separate bedroom with closet.
Spacious bathroom, provided with shower, new tiling and two washbasins. Seperate toilet and storageroom available with wasmachine connection.
Free parking.
Internet:
Price includes internet and television.
Details:
- Minimum rental period of 12 months
- Atmospheric apartment
- Located near the center
- Near main roads
- No pets allowed
- Ready to move in
- 15 minutes biking distance from the UvT and sport facilities of the UvT
Rent:
Basi rent EUR 1.239,75
Servicecosts EUR 130,56
Energy EUR 191,84 + ( payment in advance )
Total EUR 1.562,63
View all information about this residence in Tilburg",False,,Fatima Oost,tilburg,239000.0,70.3125,3.0,8.0,0.0,14.0,0.0,2.25,29.91557496,False,127.48,29.91557496,127.478075,,127.48,False
https://www.pararius.com/apartment-for-rent/rotterdam/f8b09190/mauritsstraat,1315.0,Excludes: Service costs,3012 CH,37.0,2.0,,Furnished,Temporary rental,1874.0,1.0,,Not present,Not present,A,Not present,No,,No,"Description
SHORT-STAY Accommodations Rotterdam from 3 to 9 months
Discover our selection of 20 short-stay properties, offering flexible rental contracts from 3 to 9 months.
Location & Features:
- Situated on Mauritsstraat, in the vibrant center of Rotterdam.
- Units are fully furnished.
- 1-bedrooms (1 double bed)
Pricing Details:
- Rent: €1315.
- Fixed utility payment (heating, electricity, water, internet): €195.
- Service charge: €125.
- Tax: 9%
- Total rent €1782,-
We pride ourselves on delivering exceptional service, with an emphasis on prompt problem resolution. Your payment also reflects the quality safety, and prime location of the property.
Contract & Terms:
- Requires a 1-month security deposit.
- Temporary contracts with the flexibility of cancellation given 1 calendar month's notice.
Rental Process:
- We offer a flexible process, tailored to individual needs.
- For students: Required documents include a guarantor's documents, an employment contract, 3 recent pay slips, IDs and phone number + e-mail. of both guarantor and tenant.
- For expats: Required documents are an employment contract, 3 recent pay slips, proof receiving salary in bank account, ID, phone number + e-mail.
- Rentals in the name of a company are also an option.
Reservations:
- Contact us for quick and easy reservations. Our units are popular among students, expats and companies, so act fast!
Contact & Viewings:
- To arrange a viewing, please send a request along with a personal story as part of your inquiry.
Experience the convenience and comfort of living in the heart of Rotterdam with our appealing short-stay options!
Additional Information:
- Shared private garden.
- 2 Miele washing machines.
- 2 Miele dryers.
- Digital keys.
- Each apartment is equipped with an intercom.
- Only stairs available (no elevator).
- On-site caretaker available to address issues.
- Rotterdam Central Metro/Tram/Train station is a 7-minute walk away.
- Parking options include nearby Apcoa Parking Garage, Interparking Lijnbaan, or street parking.
- Registration is possible.
- No pets allowed",False,,Cool,rotterdam,374000.0,34.6875,6.0,4.0,-5.0,41.0,0.0,0.0,69.14021008,False,130.13,49.44314433,149.8277101,1.5,131.63,False
https://www.pararius.com/apartment-for-rent/den-haag/774a9fe5/floris-grijpstraat,1225.0,Excludes: Service costs,2596 XE,65.0,2.0,,Furnished,Unlimited period,1930.0,1.0,"Shower
Toilet",Not present,Not present,D,Not present,Yes,Permit,No,"Description
IT IS NO LONGER POSSIBLE TO REPLY AND VIEWINGS ARE NO LONGER POSSIBLE TO BOOK.
YOU CAN ONLY REPLY BY EMAIL TO ****** OR BY USING THE APPLICATION BUTTON ON THIS WEBSITE. PLEASE GIVE A SHORT PERSONAL INTRODUCTION.
Lovely one bedroom apartment with a marvelous view over a green park in the charming Benoordenhout area. For 1 person only.
Area: 10 minutes walking to a lovely local shopping center ( Van Hoytemastraat and Weissenbruchstraat) with supermarkets, lots of local shops and cozy lunchrooms and restaurants. The central station and city center will take you 10 minutes by bike. Good public transport connections. Easy access to the highways.
Lay-out: central entrance, stairs to second floor, spacious hall with toilet and storage space, living room with wooden flooring and a lovely view over the park, open kitchen with all appliances, good size bedroom, bathroom with shower, washer and dryer, storage space.
ONLY SUITABLE FOR 1 PERSON.
New tenant is obligated to apply for an 'affordable housing permit’ at the municipality (huisvestingsvergunning).
maximum gross annual income (including holiday pay and extras) for a one-person household € 62.191,-
Special features:
available 1 July
charming furnished apartment
suitable for one person
peaceful and green street
shopping area on a walking distance
10 minutes biking to the central station and city center
minimum duration 1 year
price is excluding utilities
housing permit applicable",False,,Arendsdorp,den haag,517000.0,60.9375,6.0,8.0,-5.0,14.0,0.0,0.0,69.73295264,False,134.65,50.71124937,153.6704526,,134.65,False
https://www.pararius.com/apartment-for-rent/den-bosch/194e4cdb/willemspoort,1350.0,Excludes: Service costs,5223 WV,40.0,1.0,,Furnished,Temporary rental,2022.0,1.0,,Not present,Not present,,Not present,No,,No,"Description
Apartment for rent in Den Bosch in the Willemspoort district.",False,,Willemspoort,den bosch,484000.0,37.5,3.0,4.0,-5.0,41.0,0.0,0.0,85.83842795,False,135.39,54.89168122,166.3384279,,135.39,False
https://www.pararius.com/apartment-for-rent/helmond/37ce4453/torenstraat,1200.0,Excludes: Service costs,5701 TS,49.0,2.0,,Upholstered,Unlimited period,2021.0,1.0,,Present,Not present,,Present,Yes,,No,"Description
The apartments are located on the corner of Torenstraat and Anna van Eekerenstraat. These apartments are a stone's throw from the lively center of Helmond. Within a few minutes walking distance you can reach shops, restaurants and the Albert Heijn XL supermarket. The apartments are also only a 15-minute drive from Eindhoven.
These are unfurnished apartments, with 1 or 2 bedrooms. All apartments have a private parking space and private storage room located on the ground floor. The apartments vary in size from 49 m2 to 75 m2.
Apartments are spread over 3 floors, there is an elevator in the building.
Ground floor: here are 8 apartments
1st floor: here are 11 apartments
2nd floor: here are 11 apartments.
This is an apartment located on the 2nd floor and equipped with 1 bedroom.
All apartments will have an outdoor area (a patio garden for the apartments on the ground floor and a balcony for the apartments on the 1st and 2nd floor).
Apartments are delivered completely new and according to the latest building standards.
The apartments will have a beautiful PVC floor with underfloor heating, and a door mat will be installed at the front door.
Modern white kitchen with gray counter top, equipped with the following conveniences: refrigerator, induction plate, extractor hood, sink, combi microwave / oven and dishwasher.
Bathroom with washbasin, toilet, walk-in shower and design radiator. Some of the large 2 bedroom apartments have a separate WC.
The walls will be finished with glass fiber wallpaper which will be painted.
Particularities:
- Minimum rental period is 12 months
- Rent is excluding costs for electricity and water (no gas available), internet / TV and waste levy (local tax)
- Deposit is 1 x the monthly rent
- Each apartment has 1 private parking space in the adjacent parking lot, optionally you can rent a 2nd parking space for € 75.00 per month (these are only available to a limited extent)
- Each apartment has a private storage room
- Apartments are delivered upholstered: including blinds, fixed lighting and beautiful PVC floor",False,,Centrum,helmond,188000.0,45.9375,10.0,8.0,2.0,41.0,0.0,2.25,28.75429997,False,137.94,28.75429997,137.9418,4.0,141.94,False
