Link,Huurprijs,Prijs details,Locatie,m2,Kamers,Specificaties,Huurovereenkomst,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten verwarming,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max,Punten zonder CAP
https://www.pararius.com/apartment-for-rent/leiden/e913074b/haarlemmerweg,1225.0,"Includes: Electricity, Gas, Service costs, Water",2316 AC,50.0,2,,Temporary rental,1920.0,1.0,,Not present,Not present,,Not present,No,,No,"Description
Nice apartment for rent in Leiden with 1 bedroom in the Groenoord district.",False,,Groenoord,leiden,481000.0,46.875,6,4.0,-5.0,-15,0,0.0,75.00873362445415,False,73.8,36.92163209606987,111.88373362445415
https://www.pararius.com/apartment-for-rent/eindhoven/c387c43d/tongelresestraat,1355.0,,5613 DT,55.0,2,,,1930.0,1.0,,Not present,Not present,,,,,No,"Description
Layout: Living room with laminate flooring and open kitchen. Neat kitchen with (built-in) appliances and access to the backyard. The bedroom is located at the front of the house. The neat bathroom has a shower, sink and washing machine connection. The upholstery of the house consists of, among other things, carpet and blinds.
Suitable for maximum 2 persons (additional energy cost apply)
Pets are not allowed
Available from: 1-11-2024
Minumum rental period: 12 months
Rental price: €1355,- p/m incl GWE
Deposit: €2200,-
The information in this advertisement is without obligation and the dimensions given are indicative. No rights can therefore be derived from the content of this",False,,Lakerlopen,eindhoven,309000.0,51.5625,6,8.0,-5.0,-15,0,0.0,45.53354505756252,False,75.62,30.061694868995634,91.09604505756252
https://www.pararius.com/apartment-for-rent/maastricht/9d3cb807/bogaardenstraat,1300.0,"Includes: Electricity, Gas, Internet, Service costs, Water",6211 SN,27.0,2,"Monumental building, Protected townscape",Temporary rental,1723.0,1.0,"Cable TV
Intercom
Internet connection
Shower
Toilet",Not present,Not present,,Not present,No,,No,"Description
D E S C R I P T I O N :
ONLY SHORT STAY
In the city center, in a fully renovated national monument, this completely newly built, furnished apartment is located on the 1st floor. The cozy and atmospheric apartment is located in the center with well-known shops, restaurants and other entertainment venues within walking distance. Public transport with direct bus connections to the central railway station, to the academic hospital MUMC+ and to the offices of various (inter)national companies is also nearby. Various faculties of Maastricht University are also easily accessible.
An ideally located apartment for your short stay in Maastricht!
S U R F A C E :
27 m2
L A Y O U T:
Ground floor:
Entrance
Courtyard with bicycle shed
Entrance apartment building
Hall with meter cupboards
Shared laundry room with washing machien and dryer
Stairwell
First floor:
Front door
Hallway
Bedroom
Bathroom with sink, shower, toilet
Living room with open kitchen equipped with 2-burner induction hob, extractor, combi-oven and fridge with freezer
R E N T A L C O N D I T I O N S:
SHORT STAY - from 1 to a maximum of 6 months
Rent € 1.300, -
Including GWE
Including Service costs
Including WIFI internet and TV
Deposit € 2.000, -
Final cleaning € 295, -
Would you like some more information?
Please feel free to contact our office City Housing Maastricht without any obligation.
We are pleased to help!
City Housing Maastricht",False,,Binnenstad,maastricht,333000.0,25.3125,6,8.0,-5.0,0,0,4.25,75.85735080058225,False,76.32,37.758550764192144,114.41985080058225
https://www.pararius.com/apartment-for-rent/velp-gld/d4de4f8e/middellaan,1400.0,,6881 RP,23.0,1,,,1912.0,1.0,"Fibre-optic connection
Mechanical ventilation
Shower
Toilet",Not present,,G,,Yes,Public,,"Description
Are you looking for temporary housing in Velp? Then a short stay in Velp is the perfect solution for you! With a temporary rental, you enjoy the comfort of a place of your own, without the high costs of a hotel. You are assured of a fixed and cozy location during your stay, making you feel at home quickly. We offer three studios ranging from 20 m² to 24 m², ideal for a short stay. The rent for the studios is €1700 per month, including electricity, water, internet, and monthly cleaning service. You can also use the common laundry room on the 1st floor, including a washer and dryer, for added convenience during your stay. Moreover, the apartment complex is just a 5-minute drive from Arnhem. In short, a short stay in Velp offers the perfect combination of homeliness, comfort, and convenience!
The short stay studios are move-in ready and fully luxuriously furnished. The studios can be provided with comfort and convenience.
These centrally located studios in Velp offer an excellent location for anyone looking for convenience and comfort. The complex is just a 5-minute drive from Arnhem, so you can quickly get to the city. Right next to the complex you will find a Lidl for your daily groceries, and the center of Velp is only 2 minutes walking. The Velp train station is also nearby, providing excellent accessibility by public transportation. In short, an ideal location with everything within easy reach!
Communal entrance with intercom, mailboxes, and stairs to the 1st and 2nd floor.
Spacious corridor providing access to 2 apartments and 3 studios.
From your own front door, you enter the studio, which has an open layout with a cozy sitting area and a sleeping area. The studio features stylish wooden PVC flooring with underfloor heating. Moreover, the studio has its own bathroom and kitchen, allowing you to enjoy optimal privacy and comfort during your stay.
The studio is fully furnished and equipped with smart TV, internet, double box spring and a closet and equipped with sleek wall and ceiling finishes. Also, the studio enjoys plenty of light through the large windows and unobstructed views.
The modern and luxurious open kitchen is fully equipped with all amenities. You will find an induction hob, extractor hood, combination microwave, refrigerator with freezer drawers, dishwasher, and all necessary kitchen inventory for a comfortable stay.
The fully tiled marble bathroom has a modern look and is equipped with both a rain shower and a handheld shower, complete with a thermostatic faucet for optimal comfort. In addition, the bathroom features a hanging sink with drawers for practical storage and a hanging toilet for a sleek finish.
Studio offer:
House number 2: This studio has a living area of 20 m² and has a rent of € 1700 per month.
House number 3: This studio has a living area of 23.61 m² and has a rental price of € 1700 per month.
House number 4: This studio has a living area of 21,99 m² and has a rental price of € 1700 per month.
Details:
Rent € 1,700.00 p/m including cleaning costs, electricity, water, and internet;
Deposit 1.5 months rent;
Maximum rental period 6 months;
New and luxury furnished and equipped with all inventory;
Living area between approx. 20 m² / 24 m²;
Closed and covered bicycle storage;
Free public parking.",False,,Velp-Noord boven spoorlijn,velp gld,501000.0,21.5625,7,8.0,0.0,-15,0,4.75,129.12056198974747,False,77.61,51.29291045661667,155.43306198974747
https://www.pararius.com/apartment-for-rent/maastricht/b7c0e9e3/hoogbrugstraat,1295.0,Excludes: Service costs,6221 CP,50.0,2,,Unlimited period,1910.0,1.0,"Internet connection
Roller blinds
Sewer connection
Shower
Skylight
Toilet",Not present,Not present,,Not present,No,,No,"Description
For rent in the center of Maastricht a beautifully furnished 1-bedroom apartment.
The apartment is located on the second floor of a monumental building.
The apartment is accessible by stairs. Through the entrance hall you have access to all rooms. The living room is approx. 25m2 and gives access to the open kitchen which is provided with a 4 burner hob, extractor, dishwasher, oven, microwave and sink. The bathroom has a shower with glass wall, sink with cupboard, toilet, washing machine and dryer. The bedroom is approx. 10m2. The apartment is rented fully furnished.
The rent is € 1.295 excluding heating, water, electricity, service charges and internet, the amount for these services is € 300,- a month. This makes the total rent price € 1.595,-. The deposit is € 2.890,-. Pets are not allowed.",False,,Wyck,maastricht,402000.0,46.875,6,8.0,-5.0,-15,0,2.25,62.109170305676855,False,77.85,34.72727620087336,105.23417030567686
https://www.pararius.com/apartment-for-rent/middelburg/bf655060/seisdam,1300.0,Excludes: Service costs,4331 NT,60.0,2,,Unlimited period,1915.0,1.0,"Shower
Toilet",Not present,Not present,,Not present,Yes,Paid,No,"Description
I",False,,Stadhuis,middelburg,243000.0,56.25,6,8.0,-5.0,-15,0,0.0,33.685589519650655,False,77.95,27.698744541484714,83.93558951965065
https://www.pararius.com/apartment-for-rent/rotterdam/81415b6e/saftlevenstraat,1250.0,Excludes: Service costs,3015 BK,60.0,2,,Temporary rental,1895.0,1.0,,Present,Not present,,Not present,No,,No,"Description
Spacious studio on excellent location!
Rental price: €1500,00 including all costs
State: Unfurnished
Available from: Directly
Minimum rental period: 12 months
Highlights:
- Ideal location
- Large windows
- Shared laundry room
The property:
Neat, fully self-contained studio. The studio is equipped with a kitchen, bathroom, and a shared laundry room. The kitchen comes with the necessary appliances. Additionally, the studio is fully furnished with a sofa, a small dining table for two, a bed, and a TV. The toilet is located in the hallway.
Location:
Oude Westen is an urban residential area with all city centre facilities within walking distance. For a trendy restaurant, a hip bar, the best bread, the latest film or music, you don't have to leave your own neighbourhood. Heartwarming living in the city, who wouldn't want that?
'For this property, please contact HouseHunting Randstad!
Although prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary, depending on profile. No pets allowed. No smoking. Lease agreement for a definite period. General terms and conditions of ROZ applicable.",False,,Oude Westen,rotterdam,344000.0,56.25,6,4.0,2.0,-15,0,0.0,48.03639010189228,False,86.67,33.42450873362446,101.28639010189228
https://www.pararius.com/apartment-for-rent/breda/e5563d39/edisonstraat,1175.0,,4816 AW,55.0,2,,,1955.0,1.0,,Present,Not present,G,,,,No,"Description
This apartment is for rent for 12 months!
Very nicely finished and completely renovated 2-bedroom apartment within walking distance of Breda central station and also a short distance from the city center. The apartment has a spacious, bright living room, beautiful kitchen, bedroom and modern bathroom. The apartment is located on the second floor of a small apartment complex, with a private storage room on the first floor.
DESCRIPTION
CENTRAL HALL/ENTRANCE
With doorbells, mailboxes and a stairwell which provides access to the storerooms and apartments.
HALLWAY/ENTRANCE
With a laminate floor and wardrobe space. The hall provides access to:
MODERN TOILET
which is partly tiled and equipped with a toilet and sink.
LIVING ROOM
Very large living room followed by the semi open kitchen with laminate flooring, doors to a French balcony facing east and doors to the balcony.
BALCONY
Approx. 2.95 x 0.95 m sunny balcony facing west and equipped with a closet containing the central heating boiler (Remeha 2017).
MODERN KITCHEN
The double wall arrangement is equipped with a stainless steel sink, convection oven, fridge, freezer, dishwasher and various storage options.
BEDROOM
Equipped with a beautiful laminate floor.
MODERN BATHROOM
Which is tiled and has a shower with hand shower, washbasin in furniture with drawers.
PARTICULARS;
- Conveniently located to station and center
- High level of finishing
- Deposit 2 months rent
- Service costs contribution € 25, - per month",False,,Doornbos-Linie,breda,286000.0,51.5625,6,8.0,2.0,-15,0,3.25,41.70742358078603,False,87.99,32.18157478165939,97.51992358078603
https://www.pararius.com/apartment-for-rent/roosteren/736f5bde/hoekstraat,1200.0,,6116 AW,55.0,1,,Unlimited period,1980.0,1.0,Toilet,Not present,Present,C,,No,,No,"Description
Nice apartment with garden for rent in Roosteren in the Verspreide huizen Roosteren district.",False,,Verspreide huizen Roosteren,roosteren,73607.0,51.5625,3,4.0,2.0,22,0,0.0,10.844144501786424,False,93.41,10.844144501786424,93.40664450178642
https://www.pararius.com/house-for-rent/muiderberg/65412331/zuiderzeeveld,1350.0,,1399 VH,37.0,2,,,1975.0,1.0,"Shower
Toilet",Not present,"Present (25 m², located on the south)",,,,,No,"Description
Comfortable house with garden for rent in Muiderberg with 1 bedroom in the Muiderberg district.",False,25.0,Muiderberg,muiderberg,574000.0,34.6875,6,8.0,10.75,-15,0,0.0,106.7446004956922,False,94.33,49.89009316357843,151.1821004956922
https://www.pararius.com/house-for-rent/groningen/e71d6912/turfsingel,1250.0,"Includes: Electricity, Gas, Service costs, Water",9712 KM,65.0,2,,,1910.0,1.0,"Shower
Toilet
Laundry room",Not present,Present,,,,,,"Description
FOR RENT starting January 1, 2025
ALWAYS DREAMED OF LIVING ON A HOUSEBOAT? THIS IS YOUR CHANCE!
Located on the Turfsingel, this unique houseboat boasts character, history, and has been maintained with passion.
The houseboat is named ""Ludinia"" and was built in 1910. The first beers from the Ludina Brewery were brewed on this boat, and many recipes for the finest beers were written and developed here. The unique Ludinia glasses are hanging in the kitchen, and beers can easily be picked up at Café de Toeter.
Location:
Ludina's location is very convenient, within walking distance of the city center, supermarkets, nightlife, and easy access to main roads via the Boterdiep.
Additionally, the UMCG and the University of Groningen (RUG) are within walking distance.
The houseboat features many details, offering a unique experience! Moreover, it is well-insulated, so keeping it warm is not a problem!
Layout:
Private entrance from the quay on the Turfsingel, terrace with table and chairs. Entrance, stairs leading down, long hallway to the living room, entrance to the kitchen, open kitchen to the living room, furnished with a table and 4 chairs. In the photos, there is a second bed placed, which can be removed to enlarge the living room.
Bathroom in the long hallway, equipped with a washbasin with lighting, hot/cold water, rain shower, and toilet.
Bedroom with a double floor, workspace with chair and desk, stairs down to a spacious double bed, and another workspace. Ideal for working from home.
Rental Features:
Available from January 1, 2025
Deposit of 1 month's rent
Furnished
Rent price: €1,250.00 including furniture, gas, water, and electricity
Officially 1 bedroom (a second can be placed in the living room, see photos)",False,,Hortusbuurt-Ebbingekwartier,groningen,287000.0,60.9375,6,8.0,2.0,-15,0,0.0,38.28115552569701,False,95.01,33.072156323480016,100.21865552569702
https://www.pararius.com/apartment-for-rent/haarlem/781157f4/generaal-de-wetstraat,1300.0,"Includes: Electricity, Gas, Service costs, Water",2021 XJ,60.0,2,,Unlimited period,1970.0,1.0,"Shower
Toilet",Present,Not present,,Not present,No,,No,"Description
Description:
Apartment in Haarlem situated on short distance to public transport, cs and centre and close to all exit ways. It is recently new renovated everything is new.
The kitchen is suited with build-in equipment like as: gas cooker, oven and cooker hood. It is suited with central heating, double glass and laminate floor. The apartment is suited on 1st floor with a sunny balcony on the south.
Lay out: hall, toilet, large living room, half open kitchen, large bedroom with entrance to the sunny balcony, bathroom with shower and wash basin and with also entrance to the sunny balcony.",False,,Nelson Mandelabuurt,haarlem,412000.0,56.25,6,8.0,2.0,-15,0,0.0,57.985443959243085,False,95.28,38.02769650655022,115.23544395924309
https://www.pararius.com/apartment-for-rent/den-haag/a3bbe280/bentinckstraat,1295.0,Includes: Service costs,2582 SR,53.0,2,,Temporary rental,1981.0,1.0,Toilet,Present,Present,,,,,,"Description
Sunny and stately one bedroom home with a nice balcony facing the south around the corner of the lovely Frederik Hendriklaan shopping street. This home in the centre of Statenkwartier is approx. 53m2 and situated on the third floor. It will be fully furnished and ready for you to move in, even sheets, cutlery, pots and pans etc. will be provided. Tramline 1 and 16 can be found right outside of the apartment building as well the offices from Europol, OPCW, the tribunal and Eurojust.
Layout
Entrance to shared hallway from the street with mailboxes and storage rooms. Stairs to the third floor. Entrance to the apartment. Hallway with doors to all rooms. Spacious and bright living room with doors to the sunny balcony. Open kitchen with appliances such as a dishwasher, stove, freezer / fridge, ample storage space etc. Bathroom with shower, sink, towel radiator. Washing machine. Bedroom with comfortable double bed and big windows. Oak wooden flooring. Centrally heated. On the ground floor you will find a sunny and green shared garden with benches and tables.
Location
Located on the corner of the popular shopping street Frederik Hendriklaan, near The Hague's international institutions such as Europol, OPCW and ICC. Walking distance from the beach and around the corner from the nearest tram stop, making the city centre within a 15 min reach.
Key aspects
Students are welcome!
53m2 of living space
Shops around the corner
Tramstop for tram 16 in front of the house
Within walking distance from Europol / OPCW offices
Balcony
Beautiful flooring in the apartment
Shared garden
One registration only
Available directly and can be rented all inclusive
Rental price: € 1595,- including utilities",False,,Statenkwartier,den haag,242000.0,49.6875,6,8.0,2.0,-4,0,3.25,35.93902941418802,False,98.23,33.289254706682044,100.87652941418801
https://www.pararius.com/apartment-for-rent/veldhoven/6ecf226a/dorpstraat,1387.0,Excludes: Service costs,5504 HA,67.0,2,,Unlimited period,1930.0,1.0,,Not present,Not present,G,Present,No,,No,"Description
Type: 2-bedroom apartment
Location: Dorpstraat / Veldhoven
UNIQUE CHANCE!!! HIGH-QUALITY FINISHED 2-ROOM APARTMENT SITUATED ON A TRULY FANTASTIC LOCATION ON THE DORPSTRAAT IN VELDHOVEN. THIS APARTMENT IS SITUATED IN A CHARACTERISTIC VILLA WITH ALL DESIRED AMENITIES SUCH AS RESTAURANTS AND SHOPPING FACILITIES WITHIN WALKING DISTANCE. ALSO VERY CONVENIENTLY LOCATED TO ASML.
Global layout:
Ground floor:
Gate with access to the central entrance with doorbells and stairs to the 1st floor.
1st floor: Access apartment. Hall with access to the various rooms.
Spacious living room with large windows making the apartment very light and spacious. From the living room has a fantastic view of the Dorpstraat. The living room is equipped with luxury designer furniture and a modern kitchen corner unit. The kitchen is fully equipped including a combi microwave, dishwasher, hood and fridge freezer.
Storage room with washing machine.
Luxury bathroom with shower and washbasin. Separate toilet with hand basin.
Spacious bedroom equipped with a double bed, closet and also a large window.
The composition of the rent is as follows;
- Basic rent €1,187,43
- Use of furniture €200.00
- Consumption G/W/E & TV + internet € 262.50
Rental period indefinite with a minimum duration of 12 months.",False,,Veldhoven,veldhoven,442000.0,62.8125,6,8.0,-5.0,-15,0,3.25,58.80792543831063,False,99.29,39.227240394642514,118.87042543831063
