Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max
https://www.pararius.com/apartment-for-rent/rotterdam/81415b6e/saftlevenstraat,1250.0,3015 BK,60.0,2,Furnished,Temporary rental,,1895.0,1.0,,Present,Not present,,,Not present,No,,No,"Description
Spacious studio on excellent location!
Rental price: €1500,00 including all costs
State: Unfurnished
Available from: Directly
Minimum rental period: 12 months
Highlights:
- Ideal location
- Large windows
- Shared laundry room
The property:
Neat, fully self-contained studio. The studio is equipped with a kitchen, bathroom, and a shared laundry room. The kitchen comes with the necessary appliances. Additionally, the studio is fully furnished with a sofa, a small dining table for two, a bed, and a TV. The toilet is located in the hallway.
Location:
Oude Westen is an urban residential area with all city centre facilities within walking distance. For a trendy restaurant, a hip bar, the best bread, the latest film or music, you don't have to leave your own neighbourhood. Heartwarming living in the city, who wouldn't want that?
'For this property, please contact HouseHunting Randstad!
Although prepared with care, no rights can be derived from this text. Sizes are indicative and not NEN measured. Grant subject to approval by landlord/owner. Deposit amount may vary, depending on profile. No pets allowed. No smoking. Lease agreement for a definite period. General terms and conditions of ROZ applicable.",False,,Oude Westen,rotterdam,344000.0,56.25,10.0,2.0,-15,0,0.0,48.03639010189228,False,86.67,33.42450873362446
https://www.pararius.com/apartment-for-rent/tilburg/18f240e6/offenbachstraat,1400.0,5011 EH,76.0,4,,,,1972.0,1.0,,,,,,,,,,"Description
Beautiful apartment for rent in Tilburg with 2 bedrooms in the Heikant Oost district.",False,,Heikant Oost,tilburg,302000.0,71.25,4.0,0.0,-15,0,0.0,37.352332797058146,False,92.46,32.20876982302919
https://www.pararius.com/apartment-for-rent/den-haag/a3bbe280/bentinckstraat,1295.0,2582 SR,53.0,2,Furnished,Temporary rental,,1981.0,1.0,Toilet,Present,Present,,,,,,,"Description
Sunny and stately one bedroom home with a nice balcony facing the south around the corner of the lovely Frederik Hendriklaan shopping street. This home in the centre of Statenkwartier is approx. 53m2 and situated on the third floor. It will be fully furnished and ready for you to move in, even sheets, cutlery, pots and pans etc. will be provided. Tramline 1 and 16 can be found right outside of the apartment building as well the offices from Europol, OPCW, the tribunal and Eurojust.
Layout
Entrance to shared hallway from the street with mailboxes and storage rooms. Stairs to the third floor. Entrance to the apartment. Hallway with doors to all rooms. Spacious and bright living room with doors to the sunny balcony. Open kitchen with appliances such as a dishwasher, stove, freezer / fridge, ample storage space etc. Bathroom with shower, sink, towel radiator. Washing machine. Bedroom with comfortable double bed and big windows. Oak wooden flooring. Centrally heated. On the ground floor you will find a sunny and green shared garden with benches and tables.
Location
Located on the corner of the popular shopping street Frederik Hendriklaan, near The Hague's international institutions such as Europol, OPCW and ICC. Walking distance from the beach and around the corner from the nearest tram stop, making the city centre within a 15 min reach.
Key aspects
Students are welcome!
53m2 of living space
Shops around the corner
Tramstop for tram 16 in front of the house
Within walking distance from Europol / OPCW offices
Balcony
Beautiful flooring in the apartment
Shared garden
One registration only
Available directly and can be rented all inclusive
Rental price: € 1595,- including utilities",False,,Statenkwartier,den haag,242000.0,49.6875,14.0,2.0,-4,0,3.25,35.93902941418802,False,98.23,33.289254706682044
https://www.pararius.com/apartment-for-rent/valkenburg-lb/8c854861/passage,1365.0,6301 DW,72.0,3,,,,1900.0,1.0,"Roof terrace
Toilet
Laundry room",Not present,,,,,,,,"Description
Beautiful apartment for rent in Valkenburg with 2 bedrooms in the Valkenburg district.",False,,Valkenburg,valkenburg lb,589000.0,67.5,4.0,0.0,-15,0,0.0,75.72295002426006,False,100.13,43.633573508005824
https://www.pararius.com/apartment-for-rent/rotterdam/700298de/kleiweg,1375.0,3051 XR,55.0,2,Furnished,Temporary rental,,2000.0,1.0,"Shower
Laundry room",,"Present (30 m², located on the north)",,G,,Yes,Permit,,"Description
Requirements for this property:
Pets are not allowed
Maximum 2 person(s)
Also available for students with a guarantor
If you do not meet the income requirements, it is also possible to rent this property if you have a guarantor.
For rent:
Also available for students with guarantor.
A nicely furnished 1-bedroom apartment located on the ground floor with a lovely back garden.The apartment is very well nearby exit roads, shops and public transport.The living room is located at the front and the bedroom is at the rear, which has French doors to the beautiful garden.The kitchen, shower and toilet can be reached via the hall. The kitchen is located separately and also gives access to the garden.
Ground floor:
Hall (4.00 m x 0.85 m) 3.40 m2
Livingroom (6.20 m x 3.15 m) 19.53 m2
Bedroom 1 (4.45 m x 3.15 m) 14.02 m2
Kitchen (2.35 m x 1.75 m) 4.11 m2
Bathroom (1.70 m x 0.85 m) 1.45 m2
Laundry/Storage room (1.60 m x 0.90 m) 1.44 m2
Garden (5.80 m x 4.70 m) 27.26 m2
Storage (2.80 m x 2.30 m) 6.44 m2",False,30.0,Hillegersberg Zuid,rotterdam,414000.0,51.5625,14.0,12.5,-15,0,0.0,60.870186581976974,False,103.96,40.897786572052404
https://www.pararius.com/room-for-rent/maastricht/e94023c8/endepolsdomein,1343.0,6229 EM,79.0,1,Upholstered,Temporary rental,,0.0,1.0,"Bath
Internet connection
Sewer connection
Toilet",Not present,Not present,,,Not present,No,,No,"Description
Sleep, meet, study, work, exercise or catch a movie? You don't need to step outside; it’s all about being relax-Ed. With us, you'll definitely feel at home, which is why we call you -Eddy.
Renting and sharing an apartment with a friend? The fully furnished 'Duplex' apartment in the modernized campus complex The Ed has two floors with two bedrooms with double beds (140x200), including mattresses, desks with chairs, sofa, sufficient storage and wardrobes, high-speed internet and a balcony. Together you share a luxury kitchen (with built-in appliances), toilet, bathroom with bath and sink. The apartment is located on the ground floor (north and south side).
The Ed offers 182 residential units and well-thought-out study areas, a Miele laundry, a bicycle shed and social areas, including a cinema, fitness room, lounges, an inner garden and a lift. The common areas are of course cleaned. It is located in the Randwyck district within walking distance of several faculties of Maastricht University, the station and the city center.
Will you be our new -Eddy? For more information, visit www.******.
PLEASE NOTE: This 2p apartment is available for short stay rentals, ideal for a stay until 31-07-2025.",False,,Randwyck,maastricht,216000.0,74.0625,10.0,-5.0,0,0,0.0,25.939638494278924,False,105.0,25.939638494278924
https://www.pararius.com/apartment-for-rent/maastricht/768c9f78/wilhelminasingel,1360.0,6221 BL,45.0,1,Furnished,Unlimited period,,1910.0,1.0,Bath,Not present,Not present,,D,Not present,Yes,Paid,No,"Description
For rent:
Tastefully furnished apartment located on the 2nd floor of a beautiful mansion on the Wilhelminasingel in the beautiful Wyck area in Maastricht. Stores, supermarket, restaurants and train station within walking distance. Near major highways. The apartment overlooks the beautiful plane trees at the front of the property.
Layout:
The apartment has a living room with open kitchen equipped with all appliances, bedroom, bathroom with bath/shower combination and toilet and a storage room.
Shared use of washer and dryer.
Basic rent: € 892,42
Advance payment GWE: € 285,60 / Advance payment service charges € 112,00 / Furniture € 70,00 / Deposit: € 1.775,00
Excluding textiles and linen.
No rights can be derived from this information.",False,,Wyck,maastricht,402000.0,42.1875,14.0,-5.0,14,0,0.0,66.01018922852984,False,108.48,43.29523744541485
https://www.pararius.com/house-for-rent/lunteren/ab2e7eb7/vijfsprongweg,1350.0,6741 JA,70.0,2,Upholstered,Unlimited period,,2001.0,1.0,,Not present,Present,,,Not present,Yes,On private land,No,"Description
Beautiful house with garden for rent in Lunteren with 1 bedroom in the Lunterse Buurtbos district.",False,,Lunterse Buurtbos,lunteren,0.0,65.625,4.0,2.0,34,4,0.0,0.0,False,109.62,0.0
https://www.pararius.com/apartment-for-rent/arnhem/03a21af0/bernhardlaan,1205.0,6824 LD,100.0,4,Upholstered or furnished,,,1954.0,1.0,"Shower
Toilet",Not present,Not present,,D,Present,Yes,Public,No,"Description
Furnished or uphostered apartment for rent in Arnhem with 3 bedrooms in the Angerenstein district.",False,,Angerenstein,arnhem,0.0,93.75,8.0,-5.0,14,0,0.0,0.0,False,110.75,0.0
https://www.pararius.com/apartment-for-rent/den-haag/30f3637c/gevers-deynootplein,1230.0,2586 CR,62.0,2,Furnished,,,1981.0,1.0,,Not present,,,,,,,,"Description
Fully furnished 1 bedroom apartment located in Scheveningen, The Hague, with beautiful sea views. This modern apartment offers a comfortable living space in one of the most desirable areas, with the beach, shops and restaurants within walking distance. Ideal for those who enjoy living by the sea and the convenience of local amenities.
Layout: The apartment is located in a well-maintained building with a shared entrance equipped with a doorbell panel and mailboxes. Upon entering, the hallway provides access to all rooms. The spacious living room is beautifully decorated and features large windows that offer breathtaking sea views. The room is equipped with a comfortable seating area and a dining table, making it an inviting space to relax or entertain guests. The kitchen is fully equipped with modern appliances such as a refrigerator, oven, electric hob, dishwasher and microwave, providing everything for cooking and convenience. The bedroom is cozy and well furnished, with a double bed and ample closet space. Large windows let in natural light and enhance the calm and comfortable atmosphere. The bathroom is fully tiled in a modern style and features a walk-in shower, wash basin with storage and a heated towel rail. The apartment also has a separate laundry room with a washing machine and dryer for added convenience. Deposit: 1 month's rent Rental period: 1 year Target group: 1 person or a couple of which at least 1 person is a student.",False,,Scheveningen Badplaats,den haag,406000.0,58.125,14.0,0.0,-4,0,1.5,55.59557684180871,False,110.95,41.322790357796876
https://www.pararius.com/apartment-for-rent/hoogezand/fce63289/kerkstraat,1300.0,9603 AH,57.0,2,,,,1910.0,1.0,,Not present,,,A+++,,,,,"Description
Nice apartment for rent in Hoogezand with 1 bedroom in the Zuiderpark district.",False,,Zuiderpark,hoogezand,0.0,53.4375,4.0,0.0,57,0,0.0,0.0,False,114.44,0.0
https://www.pararius.com/apartment-for-rent/utrecht/66990a42/van-heuven-goedhartlaan,1200.0,3527 CK,29.0,2,Furnished,Unlimited period,,1967.0,1.0,"Lift
Internet connection
Shower
Toilet",Present,Not present,,C,Not present,Yes,Public,No,"Description
Comfortable apartment with balcony for rent in Utrecht with 1 bedroom in the Kanaleneiland-Noord district.",False,,Kanaleneiland-Noord,utrecht,293000.0,27.1875,8.0,2.0,36,0,0.0,64.1198614666466,False,118.5,45.31142928399338
https://www.pararius.com/house-for-rent/bemelen/4dce1062/sint-laurentiusstraat,1370.0,6268 NJ,85.0,3,Furnished,Temporary rental,,1730.0,1.0,,Not present,Not present,,,Not present,Yes,Public,No,"Description
For rent for 1 or 2 working people in Bemelen near Maastricht, very nice spacious completely furnished house with 2 bedrooms. The house is part of a monumental building that is situated in a rural and quiet location 2 km from Maastricht.
When entering the house you enter the entrance hall. Through this entrance hall, you have access to the living room of approx. 23m2, which has a beautiful authentic wooden floor. Also, the spacious kitchen with oven, 4 burner gas stove, extractor hood, dishwasher, freezer, refrigerator, and washing machine is accessible from the hall. There is a separate toilet next to the stairs.
Through the stairs, you have access to the first floor. Here are the 2 bedrooms, the study and the bathroom. Bedroom 1 is approx. 15m2 and bedroom 2 approx. 13m2. The office is approximately 12m2. The fully tiled bathroom is equipped with. bath, shower, sink, and an extra toilet.
Via a loft ladder, you have access to a spacious attic. The parking for the car is on the street. There is also a bicycle shed.
The rental price is including service costs and advance for gas, water and electricity, but excluding internet. Internet needs to be put on own name.
For rent for maximum of 2 years.
For more information call ****** or mail to ******",False,,Bemelen,bemelen,440000.0,79.6875,14.0,-5.0,-15,0,3.0,52.604675057796044,False,119.35,42.666417769072694
https://www.pararius.com/apartment-for-rent/sittard/6bfb95c7/heerlenerweg,1250.0,6132 CK,100.0,2,Upholstered,Unlimited period,,1814.0,1.0,,Not present,Not present,,,Not present,No,,No,"Description
Apartment for rent in Sittard with 1 bedroom in the Kollenberg-Park Leyenbroek district.",False,,Kollenberg-Park Leyenbroek,sittard,437000.0,93.75,4.0,-5.0,-15,0,0.0,49.082969432314414,False,119.6,41.85487991266376
https://www.pararius.com/apartment-for-rent/doetinchem/75df87fe/vondelstraat,1200.0,7002 AT,69.0,3,Upholstered,,,1965.0,1.0,"Bath
Lift
Mechanical ventilation
Shower
Toilet
Laundry room",Present,Not present,,D,Present,Yes,Public,No,"Description
This beautiful 3-room flat on Vondelstraat 29 in Doetichem is available immediately. The flat has recently been completely renovated with a new bathroom and toilet, new flooring, curtains and lighting.
Layout:
The property consists of three rooms, two of which are bedrooms. In addition, a bathroom and a separate toilet can be found in the house.
Furniture:
The following furniture can be found in the property which can be rented inclusive.
Location:
The flat is located in a quiet, green area but just steps away from the city centre.
Financial:
€1,200 euros bare rent
€ 100 euro furniture
Excluding utilities
Suitable for:
Expats",False,,Schrijvers en dichtersbuurt,doetinchem,195000.0,64.6875,14.0,2.0,14,0,0.0,25.340991076514143,False,120.03,25.340991076514143
https://www.pararius.com/apartment-for-rent/breda/f9b4b8c3/reigerstraat,1375.0,4811 XB,65.0,2,Upholstered,Unlimited period,,1885.0,1.0,Bath,Not present,Not present,,D,Not present,No,,No,"Description
Beautiful apartment for rent in Breda with 1 bedroom in the City district.",False,,City,breda,308000.0,60.9375,10.0,-5.0,14,0,0.0,41.69197178367484,False,120.08,40.1377256886127
https://www.pararius.com/house-for-rent/landgraaf/d2f4555a/dr-marga-klompestraat,1300.0,6374 HZ,73.0,3,Furnished,Unlimited period,,1965.0,1.0,"Blinds
Shower",Not present,Present,,D,Not present,Yes,On private land,Yes,"Description
Beautiful house with garden for rent in Landgraaf with 2 bedrooms in the Waubach district.",False,,Waubach,landgraaf,219000.0,68.4375,8.0,2.0,14,0,0.0,28.100436681222707,False,120.54,28.100436681222707
https://www.pararius.com/apartment-for-rent/maastricht/f6d41eac/vrijthof,1195.0,6211 LD,32.0,1,Furnished,Unlimited period,,1759.0,1.0,"Shower
Toilet",Not present,Not present,,B,Not present,Yes,Paid,No,"Description
The Studio at the Vrijthof in Maastricht is in a prime location in the heart of the city. With restaurants, stores, schools and cultural events right nearby, this place offers the best of vibrant city life.
Details:
Available from 1 November
Rent is €1195,- including furniture, gas/water/electricity and service costs
Deposit is 2x the monthly rent
If you are interested in this property, we would like to receive a motivation letter, after which we will contact you.",False,,Binnenstad,maastricht,333000.0,30.0,8.0,-5.0,42,0,0.0,67.44213973799127,False,122.01,47.00590611353712
https://www.pararius.com/apartment-for-rent/eindhoven/86ce3008/eckartseweg-zuid,1250.0,5623 PD,50.0,2,Upholstered,Unlimited period,,1933.0,1.0,,Not present,Not present,,C,Not present,Yes,Public,No,"Description
Very luxurious upholstered 2 room apartment in a prime location near the center of Eindhoven and various roads.
All necessary shopping and catering facilities and the main train station can be reached within cycling distance.
The apartment is located on the ground floor.
It has a nice living room. Separate bedroom located at the rear of the property.
The bathroom is equipped with a luxuriously finished shower, toilet, sink and washing machine connection.
Open kitchen is luxuriously finished with a dishwasher, fridge-freezer, mixer tap, combi microwave oven, hob, extractor hood and all necessary equipment. Really very beautiful!
The entire apartment is equipped with a very neat laminate floor and fixed lighting. Window blackout must be installed by the tenant himself.
The rental price includes television / internet, but excluding gas, water and electricity consumption. These must be requested in your own name from relevant utilities. Internet is for home, garden and kitchen use. If you want to have high-speed Internet, you can still request this at your own expense.
Details:
Rental price does not include GWE
Rental price does include service costs: € 75,-
Rental price includes Internet
Located in a popular neighborhood
Minimum rental period is 12 months
Deposit is 2 months basic rent",False,,Oude Toren,eindhoven,302000.0,46.875,14.0,-5.0,22,0,4.0,46.375545851528386,False,124.2,42.32268013100437
https://www.pararius.com/apartment-for-rent/groningen/9fe45551/abel-tasmanplein,1335.0,9726 EK,42.0,2,,,,1939.0,1.0,,Not present,,,A,,,,,"Description
Nice apartment for rent in Groningen with 2 bedrooms in the Zeeheldenbuurt district.",False,,Zeeheldenbuurt,groningen,249000.0,39.375,4.0,0.0,41,0,0.0,42.88895820336869,False,126.37,41.99710620711167
https://www.pararius.com/apartment-for-rent/nijmegen/2ff07208/bijleveldsingel,1310.0,6521 AT,78.0,3,Upholstered,,,1983.0,1.0,Basement,Present,Not present,,,,,,No,"Description
With the centre at your feet, shops and eating and drinking places around the corner and all amenities within walking distance, this is the ideal place to live. And if you need to get out of the city, Central Station and the main highways are nearby.
There is a lot of daylight. The 3-room apartment is located on the first floor so with a few steps you are inside. The bike shed is located in the lower floor. The kitchen, bathroom and toilet have recently been completely modernized, there is a separate toilet and all rooms are neatly finished. In addition, the apartment has a balcony at the front with lots of sunshine and quietly situated. And also the apartment has a private parking place on a closed area at the rear of the complex.
Layout:
You enter the hallway which provides access to all rooms and a video intercom.
The bathroom with shower, sink and furniture has been recently renovated and is tiled to the ceiling.
The toilet which has also been renovated is separate from the bathroom.
From the hall you also have access to the L-shaped living room with open kitchen and with lots of daylight and an unobstructed view. The balcony is adjacent and a lovely place to sit.
The kitchen is as good as new and fully equipped: lots of storage space, an induction hob, extractor, oven, dishwasher, fridge and lots of worktop. The kitchen also has an extra storage cupboard where you have even more storage space and space for a freezer.
The 2 bedrooms are located at the rear of the apartment, the master bedroom has carpet flooring and a washbasin.
The apartment also has a private parking space on a closed area at the rear of the building.
Details:
- Available from 1-11-2024
- Available for a minimum of 12 months, thereafter indefinitely.
- Rent is: € 1120,- + € 80,- service costs+parking €185+upholstery €110,- = 1495- EXCL. advance heating costs
- The house is unfurnished, also with curtains.
- No Pets
- Deposit € 1495,-",False,,Stadscentrum,nijmegen,350000.0,73.125,14.0,2.0,-4,0,5.75,43.594670249692086,False,134.47,43.594670249692086
https://www.pararius.com/apartment-for-rent/amersfoort/718c5e7f/varkensmarkt,1300.0,3811 LD,57.0,2,Upholstered,Unlimited period,,1900.0,1.0,Shower,Not present,Not present,,B,Present,Yes,,No,"Description
Nice apartment for rent in Amersfoort with 1 bedroom in the Grote Haag district.",False,,Grote Haag,amersfoort,363000.0,53.4375,8.0,-5.0,34,0,0.0,51.80969891978856,False,137.38,46.94157564353023
https://www.pararius.com/apartment-for-rent/breda/dae4a325/pasbaan,1200.0,4811 GM,51.0,2,Upholstered,Unlimited period,,2020.0,1.0,"Shower
Toilet",Not present,Not present,,B,Not present,Yes,Permit,No,"Description
Super cool apartment available in a prime location in Breda!
This small-scale apartment complex is located in the center of Breda, at the Beyerd-Vlaszak parking lot and within walking distance of amenities such as cinema, theater, supermarkets, shops, cafes and restaurants. The popular “Valkenberg” park is also within walking distance: a huge garden around the corner!
The complex contains 5 2-room apartments, ideal for starters.
All apartments have a modern kitchen and bathroom. The kitchen is supplied with built-in appliances such as a dishwasher, combination oven/microwave, table-top refrigerator with freezer and a 4-burner electric hob. The bathroom has a toilet, sink and shower.
The apartment is also delivered fully furnished, including curtains, lighting and a beautiful laminate floor. There is a washing machine for shared use.
This apartment is located on the first floor.
The house is approximately 50.4m2 and the rental price of €1200,- does include €250 service costs.
The service costs include cleaning of common areas, gas, water, electricity, television and internet.
Would you like to come and view it? Then be quick!",False,,Valkenberg,breda,309000.0,47.8125,14.0,-5.0,34,0,2.25,47.45774466992037,False,139.43,46.371680741073725
https://www.pararius.com/apartment-for-rent/arnhem/ab4a2b49/patersstraat,1195.0,6828 AG,33.0,2,Furnished,Temporary rental,,2021.0,1.0,Lift,Not present,Present,,,Not present,Yes,Permit,No,"Description
PLEASE NOTE, THE APARTMENTS AND STUDIOS ARE RENTED ON A SHORT-STAY BASIS. THE MAXIMUM RENTAL PERIOD IS 6 MONTHS.
Central, new and special living in Arnhem. The new-build complex is located on the particularly conveniently located Patersstraat, in the center, within walking distance of the parks Sonsbeek and Zijpendaal, theaters (Musus Arnhem and Stadstheater), Arnhem Central and nightlife center Korenmarkt. There are also several nice, trendy shops in the vicinity and you are within 5 minutes at Arnhem Velperplein Station.
The brand new furnished apartment is located on the 2nd floor and can be reached via the elevator or the staircase. Upon entering the apartment you immediately walk into the spacious living room with open kitchen.
The living room, as well as the entire apartment, has a PVC herringbone floor. The old pink accents, luxurious finish and modern kitchen give a modern and attractive feeling. Due to the large amount of natural light, this apartment welcomes you with open arms!
The modern dark kitchen is equipped with all appliances, such as a fridge with freezer, combi oven, dishwasher and 2-burner induction hob with extractor. There is also sufficient storage space.
The bedroom has air conditioning, a double bed with mood lighting, a spacious closet and here again there is plenty of light.
The modern finished bathroom has a rain shower, floating toilet, design radiator and sink. In addition, a herringbone motif has been chosen for the tiling that makes the whole particularly attractive. The shower enclosure is finished with a black aluminum frame.
De rentalprice excludes:
Heating
Electricity
Water
Tv en internet",False,,Hommelstraat,arnhem,234000.0,30.9375,14.0,2.0,41,0,5.75,46.96466851925367,False,140.1,46.415215611353716
