Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Gemeente,Gemiddelde WOZ,Punten
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,404000.0,155.94
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,352000.0,151.95
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,291000.0,146.63
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,510000.0,166.58
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,367000.0,153.28
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,311000.0,147.96
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,251000.0,142.64
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,600000.0,174.56
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,337000.0,150.62
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,233000.0,141.31
https://www.pararius.com/apartment-for-rent/groningen/7eeee568/breitnerstraat,1050.0,9718 ML,28.0,2,Furnished,Temporary rental,,1993.0,1.0,,Not present,,,A++,,,,,"Description
Comfortable apartment for rent in Groningen with 1 bedroom in the Schildersbuurt district.",False,,Schildersbuurt,groningen,306000.0,147.96
https://www.pararius.com/apartment-for-rent/nijmegen/57408ad5/berg-en-dalseweg,975.0,6522 BC,34.0,2,Furnished,Temporary rental,,1888.0,1.0,"Cable TV
Intercom
Internet connection
Shower
Toilet",Not present,Not present,,A+,Not present,Yes,,No,"Description
For rent via Holland2Stay: Unique short-stay lofts in Canisiushof, Berg en Dalseweg
ABOUT THIS RESIDENCE
This loft is one of the 120 unique homes for rent at Canisiushof. Coming in through the monumental hallways, you’ll find this loft on the ground floor. Highlights of this home are the high ceiling and extra loft area, looking out over the living room. Speaking about living in a characteristic place!
The open kitchen works great for cooking up your favorite meal while staying in contact with guests in your living room. This modern and dark kitchen has a white counter to top it off. Appliances include an induction plate, fridge with small freezer compartment, dishwasher, and cooker hood. Squeeze plenty of people around the round table, designed for better use of the space.
The bedroom area is located at the upstairs mezzanine. Thanks to this second loft floor, your home has a high ceiling. The ensuite bathroom has a big shower with a glass door, a sink with a vanity, and a mirror. The beige-colored tiles give a sense of calmness.
Good to know:
Fully furnished loft (linen included)
Wood-look flooring installed
Blackout curtains to cover up the windows
Kitchen with appliances (induction, dishwasher, fridge, combi oven)
Shared laundry room
Shared laundry
Bike storage in the basement
LOCATION
Canisiushof is located at Berg en Dalseweg in the neighborhood of Hunnerberg, east of Nijmegen’s city center. This neighborhood is well-connected. With Julianapark only 5 minutes away, you’re standing in nature within minutes.
There are two bus stops (Hugo de Grootstraat and Mesdagstraat) along the street.
Get your groceries at one of the supermarkets nearby, like Albert Heijn (450 meters) or Coop (500 meters).
Nijmegen’s city center is only a 15-minute walk or a 5-minute bike ride from Canisiushof.
ABOUT CONTRACT
Short-stay contract
Max. 6 months, min. 1 month
Deposit is approx. 1x all-in rent
Income requirement is approx. 3.5x all-in rent
This residence is offered with a short-stay contract. Initially, the residences of Canisiushof are reserved for exchange students, expats, and working professionals who need an urgent temporary housing solution (i.e. due to home renovation, home sale, relationship problems, internship, or temporary work in or around Nijmegen). If you are already living in - or around - Nijmegen, you probably do not meet the conditions to book this residence with a short-stay contract. Note that you cannot rent a short-stay residence if you have been a tenant of Holland2Stay before.
VIEWINGS
Want more information about this property or do you want to book a viewing? Contact us!",False,,Hunnerberg,nijmegen,601000.0,182.04
https://www.pararius.com/apartment-for-rent/rotterdam/8faf03b0/beukelsdijk,885.0,3021 AK,60.0,2,Upholstered,,,1920.0,1.0,,Not present,Not present,,,,No,,,"Description
Charming 2-room apartment available, very well-connected with many amenities nearby. Located within walking distance of Rotterdam city center and Rotterdam Central Station, making it the perfect location. Additionally, the nearest main road is just a 3-minute drive away. Ideal apartment for a starter!
LAY-OUT: Entrance at street level, leading to the communal area. You take the stairs to the 1st floor where the apartment is located. Front door, entrance into the hallway from which all rooms are accessible. Living room of approximately 28 m². Separate kitchen of approximately 8 m², equipped with a gas stove and extractor fan. Spacious bedroom of approximately 19 m². The bathroom features a shower and washbasin. The toilet is separate.
The entire apartment has laminate flooring, single glazing, and is heated via central heating. The connection for the washing machine/dryer is located in the toilet.
DETAILS:
- Rotterdam Central Station
- Perfect for a starter
- Close to Rotterdam city center
- The apartment is rented out non-self-contained
RENTAL PRICE:
- Excluding advance payment of € 150,00 p/m for the use of gas, water and electricity
- Excluding television / internet (to be concluded by yourself)
RENTAL CONDITIONS:
- Property is suitable for a maximum of 1 person
- Lease term: minimum 1 year + indefinite period
o OR Lease term: maximum of two years
- Deposit equal to the (total) monthly rent
- Housing permit not required
- No pets allowed
Alleen bij Rotterdam: - Parking permit: please see here (******) more information about the -possible- waiting list regarding the parking residents permit
REQUIREMENTS:
See under the tab ""rental conditions"" which documents are required for renting this property.
* No legal rights can be derived from the above text",False,,Middelland,rotterdam,422000.0,92.1
https://www.pararius.com/apartment-for-rent/rotterdam/8faf03b0/beukelsdijk,885.0,3021 AK,60.0,2,Upholstered,,,1920.0,1.0,,Not present,Not present,,,,No,,,"Description
Charming 2-room apartment available, very well-connected with many amenities nearby. Located within walking distance of Rotterdam city center and Rotterdam Central Station, making it the perfect location. Additionally, the nearest main road is just a 3-minute drive away. Ideal apartment for a starter!
LAY-OUT: Entrance at street level, leading to the communal area. You take the stairs to the 1st floor where the apartment is located. Front door, entrance into the hallway from which all rooms are accessible. Living room of approximately 28 m². Separate kitchen of approximately 8 m², equipped with a gas stove and extractor fan. Spacious bedroom of approximately 19 m². The bathroom features a shower and washbasin. The toilet is separate.
The entire apartment has laminate flooring, single glazing, and is heated via central heating. The connection for the washing machine/dryer is located in the toilet.
DETAILS:
- Rotterdam Central Station
- Perfect for a starter
- Close to Rotterdam city center
- The apartment is rented out non-self-contained
RENTAL PRICE:
- Excluding advance payment of € 150,00 p/m for the use of gas, water and electricity
- Excluding television / internet (to be concluded by yourself)
RENTAL CONDITIONS:
- Property is suitable for a maximum of 1 person
- Lease term: minimum 1 year + indefinite period
o OR Lease term: maximum of two years
- Deposit equal to the (total) monthly rent
- Housing permit not required
- No pets allowed
Alleen bij Rotterdam: - Parking permit: please see here (******) more information about the -possible- waiting list regarding the parking residents permit
REQUIREMENTS:
See under the tab ""rental conditions"" which documents are required for renting this property.
* No legal rights can be derived from the above text",False,,Middelland,rotterdam,376000.0,86.78
https://www.pararius.com/apartment-for-rent/den-haag/7f6a1bc8/haagsestraat,1142.0,2587 TJ,74.0,3,Upholstered,,,1918.0,1.0,,Present,Not present,,C,,No,,,"Description
Located in the beautiful Belgisch Park, this charming 3-room apartment is available. The popular Scheveningen beach is nearby, as well as the Scheveningse Bosjes, perfect for a lovely summer walk! The apartment features a balcony and is within walking distance of the shops on Gentsestraat, ample public transport, and the German and French schools. By bike, you can reach Frederik Hendriklaan with all its shops, delicatessens, and restaurants in just 5 minutes. In short, it's a perfect apartment for a couple and beach lovers!
LAY-OUT: Entrance at street level, leading to the communal area. You take the stairs to the 2nd floor where the apartment is located. Front door, entrance to the living room en-suite of approximately 41 m², which is separated by sliding doors. From the dining room, you have access to the rear-facing balcony through French doors. Semi-open kitchen of approximately 10 m², equipped with a hob, fridge, freezer, extractor fan, oven, and dishwasher. Bedroom of approximately 8 m². The bathroom features a shower and washbasin. The toilet is separate.
The entire apartment features laminate flooring, double glazing, and is heated via central heating. The connection for the washing machine/dryer is located in the kitchen.
DETAILS:
- Scheveningen beach resort
- Perfect for a couple
- Great and sought-after location
RENTAL PRICE:
- Excluding advance payment of € 25,00 p/m for the use of water
- Excluding utilities gas, electricity (individual meters, contracts on tenants name)
- Excluding television / internet (to be concluded by yourself)
RENTAL CONDITIONS:
- Property is suitable for a maximum of 2 persons (sustainable household)
- Lease term: minimum 1 year + indefinite period
- Deposit equal to the (total) monthly rent
- Housing permit required (max. gross annual income is €62.191 for 1 person and €82.921 for 2 or more persons)
- No pets allowed
REQUIREMENTS:
See under the tab ""rental conditions"" which documents are required for renting this property.
* No legal rights can be derived from the above text",False,,Belgisch Park,den-haag,504000.0,159.12
https://www.pararius.com/room-for-rent/maastricht/d93602bb/parallelweg,995.0,6221 BD,44.0,2,Upholstered,Unlimited period,,,,Shower,Not present,Not present,,,Not present,No,,No,"Description
Completely renovated trendy studio located in front of the central station of Maastricht.
In a former police office a total of 19 trendy studios have been realized, each with its own authentic features and hip style.
Layout:
Entrance:
Through a large gate you have access to the grounds, parking spaces and the studios.
Ground floor:
Entrance on the right side with staircase to the floors.
First floor:
Side studio (34m²) with modern green PVC floor and mezzanine, access to the entresol through a sliding ladder.
The trendy blue bathroom is equipped with shower, toilet and sink and own washing machine connection.
The designer kitchen is equipped with a Siemens dishwasher, 4-burner induction plate and fridge with small freezer and a connection for a microwave. Because of the trendy design of the kitchen, the living room and the kitchen can be separated into two different rooms. The studio is provided with an intercom system for visitors. All the windows are dubble glass and provided with curtains. Separate storage room is included in this studio.
The unique part of this studio is that it is located at the corner of the building. Therefore, the studio has a lot of windows providing a lot of daylight.
Extra information:
- Suitable for one person
- Suitable for Master student and or PHD researcher.
- No pets allowed.
- Rent excluding gas, water and electricity, TV and service costs. (€ 230, -)
- Rent including parking spot at courtyard (€ 105,-)
- One-time commission fee for landlord (€ 225, -)
- Internet subscription must be made by the tenant himself.
- Shared bicycleshed
- Shared washingmachine/dryer
General info:
Within walking distance of the trendy Wyck where many restaurants with their home made / regional products are located also nice pop-up stores with handmade clothing.",False,,Wyck,maastricht,402000.0,
https://www.pararius.com/apartment-for-rent/geleen/b0fe8a8e/markt,995.0,6161 GJ,85.0,3,Upholstered,Unlimited period,,1978.0,1.0,,Not present,Not present,,C,Not present,No,,No,"Description
Lovely apartment for rent in Geleen with 2 bedrooms in the Geleen-Centrum district.",False,,Geleen-Centrum,geleen,196000.0,123.76
https://www.pararius.com/house-for-rent/scheemda/88b66845/dollardlaan,950.0,9679 CW,110.0,4,Shell,Unlimited period,,1990.0,,,Not present,Present (35 m²),,A,Not present,Yes,Public,No,"Description
Charming house with garden for rent in Scheemda with 3 bedrooms in the Scheemda district.",False,35.0,Scheemda,scheemda,261000.0,
https://www.pararius.com/apartment-for-rent/veendam/24bca393/van-beresteijnstraat,985.0,9641 AA,89.0,3,Shell,Unlimited period,,1928.0,1.0,Shower,Not present,Not present,,G,Not present,No,,No,"Description
Lovely apartment for rent in Veendam with 2 bedrooms in the Veendam-Centrum district.",False,,Veendam-Centrum,veendam,184000.0,98.47
https://www.pararius.com/apartment-for-rent/almere/7c81a665/pepermuntstraat,995.0,1314 SZ,27.0,1,Upholstered,Unlimited period,,2004.0,1.0,,Not present,Present (28 m²),,A,Not present,No,,No,"Description
Description
For rent: Unfurnished studio with private storage and garden.
At 3 minutes cycling from Almere central station, Station Almere has a direct train connection to Amsterdam central (20 min). At the front of the building you also have the possibility to park your car for free.
(The layout of this studio may differ slightly from the images)
Entrance to the complex with doorbells and intercom system, spacious, bright hallway giving access to all 16 studios located in this complex.
Your private storage room is located at the back of the closed garden of the complex. If desired, you can also store your bicycle here.
The studio is equipped with a modern white kitchen with all appliances: fridge-freezer, microwave, dishwasher, cooker, hood and washing machine connection.
The bathroom has a large white wall tile and a sand-coloured floor tile.
Walk-in shower with glass shower screen, thermostatic tap and drain.
Washbasin unit and mirror cabinet provide ample storage space.
Built-in Geberit toilet and design radiator.
Via the back door, you reach your private garden.
The garden is v.v. terrace tiles and partly fence.
Special features:
also suitable for senior citizens
with outdoor space
kitchen with appliances
pets and children are not allowed
Fully upholstered and with pvc laminate flooring and blinds for the windows.
This unfurnished studio is available from 01-12-2024 for an indefinite period, minimum 1 year.
The deposit is 2 months.
The rent is 995,- euro including service costs and water. Excluding heat, electricity and internet/tv.",False,28.0,Kruidenwijk Zuid,almere,355000.0,151.77
https://www.pararius.com/apartment-for-rent/almere/7c81a665/pepermuntstraat,995.0,1314 SZ,27.0,1,Upholstered,Unlimited period,,2004.0,1.0,,Not present,Present (28 m²),,A,Not present,No,,No,"Description
Description
For rent: Unfurnished studio with private storage and garden.
At 3 minutes cycling from Almere central station, Station Almere has a direct train connection to Amsterdam central (20 min). At the front of the building you also have the possibility to park your car for free.
(The layout of this studio may differ slightly from the images)
Entrance to the complex with doorbells and intercom system, spacious, bright hallway giving access to all 16 studios located in this complex.
Your private storage room is located at the back of the closed garden of the complex. If desired, you can also store your bicycle here.
The studio is equipped with a modern white kitchen with all appliances: fridge-freezer, microwave, dishwasher, cooker, hood and washing machine connection.
The bathroom has a large white wall tile and a sand-coloured floor tile.
Walk-in shower with glass shower screen, thermostatic tap and drain.
Washbasin unit and mirror cabinet provide ample storage space.
Built-in Geberit toilet and design radiator.
Via the back door, you reach your private garden.
The garden is v.v. terrace tiles and partly fence.
Special features:
also suitable for senior citizens
with outdoor space
kitchen with appliances
pets and children are not allowed
Fully upholstered and with pvc laminate flooring and blinds for the windows.
This unfurnished studio is available from 01-12-2024 for an indefinite period, minimum 1 year.
The deposit is 2 months.
The rent is 995,- euro including service costs and water. Excluding heat, electricity and internet/tv.",False,28.0,Kruidenwijk Zuid,almere,474000.0,162.41
https://www.pararius.com/apartment-for-rent/meerssen/f769c540/stationstraat,995.0,6231 CK,90.0,2,Upholstered,Unlimited period,,1990.0,1.0,Shower,Present,,,D,,Yes,,,"Description
Surprisingly spacious appartment located in the centre of Meerssen. Ideally located to shops, other facilities and arterial roads in various directions.
Available for one household.
Layout:
Ground floor:
Communal entrance shared with another appartment and a workspace.
First/second floor:
Upon entering through the landing, one enters the spacious living room with open kitchen. A private balcony is also accessible via the landing. The living room offers views of the centre of Meerssen. The kitchen is equipped with fridge, 4-ring ceramic hob and oven. Through the living room, a fixed staircase leads to the bedroom. At 20m2, it is spacious and versatile. At the rear of the property is a mezzanine room, suitable for storage, and the bathroom. The bathroom is sleek and neatly finished and equipped with two sinks, shower, the toilet and the connection for the washing machine and dryer.
Additional information:
- Rental price includes service costs
- Rent does not include advance payment of gas, water and electricity ( € 125,-)
- TV and internet not included
- The apartment is unfurnished
- Parking in the neighbourhood is possible with a permit
- No pets allowed
General information:
The property is located in a very good location in Meerssen. Meerssen is located approximately 6 kilometres from the centre of Maastricht with good connections to all directions (slip road A2 and A79, train connections to Maastricht, Eindhoven and Heerlen and various bus connections. Maastricht-Aachen Airport is also in the immediate vicinity.",False,,Meerssen,meerssen,351000.0,153.41
https://www.pararius.com/apartment-for-rent/meerssen/f769c540/stationstraat,995.0,6231 CK,90.0,2,Upholstered,Unlimited period,,1990.0,1.0,Shower,Present,,,D,,Yes,,,"Description
Surprisingly spacious appartment located in the centre of Meerssen. Ideally located to shops, other facilities and arterial roads in various directions.
Available for one household.
Layout:
Ground floor:
Communal entrance shared with another appartment and a workspace.
First/second floor:
Upon entering through the landing, one enters the spacious living room with open kitchen. A private balcony is also accessible via the landing. The living room offers views of the centre of Meerssen. The kitchen is equipped with fridge, 4-ring ceramic hob and oven. Through the living room, a fixed staircase leads to the bedroom. At 20m2, it is spacious and versatile. At the rear of the property is a mezzanine room, suitable for storage, and the bathroom. The bathroom is sleek and neatly finished and equipped with two sinks, shower, the toilet and the connection for the washing machine and dryer.
Additional information:
- Rental price includes service costs
- Rent does not include advance payment of gas, water and electricity ( € 125,-)
- TV and internet not included
- The apartment is unfurnished
- Parking in the neighbourhood is possible with a permit
- No pets allowed
General information:
The property is located in a very good location in Meerssen. Meerssen is located approximately 6 kilometres from the centre of Maastricht with good connections to all directions (slip road A2 and A79, train connections to Maastricht, Eindhoven and Heerlen and various bus connections. Maastricht-Aachen Airport is also in the immediate vicinity.",False,,Meerssen,meerssen,321000.0,149.95
https://www.pararius.com/house-for-rent/tilburg/fe80e5f2/scharwoudestraat,1150.0,5035 LN,52.0,2,Upholstered,,,2016.0,1.0,,,Present (30 m²),,A,,,,No,"Description
Description
123Wonen Tilburg, The rental agent offers;
Scharwoudestraat in Tilburg
Beautiful house (with 1 bedroom) located in the Reeshof.
The house is only suitable for someone who wants to continue living near the child(ren) due to a divorce.
General
No pets allowed
Rent furnished € 1150,- per month excl. W/w/e/internet
The deposit is € 2000,-
Feel free to contact us for a free visit. Mail to ******
Always look on our website ****** for our current offers.
At 123Wonen you can directly sign up for free and unlimited house search",False,30.0,Dalem Zuid II,tilburg,368000.0,162.15
https://www.pararius.com/apartment-for-rent/ede/b1135bb6/klinkenbergerweg,1100.0,6711 ML,76.0,3,Upholstered,Unlimited period,,1996.0,1.0,,Present,Not present,,A,Not present,No,,No,"Description
Beautiful apartment with balcony for rent in Ede with 2 bedrooms in the Centrum Ede district.",False,,Centrum Ede,ede,266000.0,149.53
