Link,Huurprijs,Locatie,m2,Kamers,Interieur,Huurovereenkomst,Type woning,Bouwjaar,Badkamers,Faciliteiten,Balkon,Tuin,Omschrijving tuin,Energie label,Opslag,Parkeren,Type parkeerplaats,Garage,Beschrijving,Verzoek,Tuin m2,Buurt,Stad,Gemiddelde WOZ,Punten oppervlakte,Punten sanitair,Punten buitenruimten,Punten energie,Punten parkeerruimten,Punten keuken,Punten WOZ,COROP,Punten,Punten WOZ max
https://www.pararius.com/apartment-for-rent/amstelveen/64485e49/buitenplein,1450.0,1181 ZD,85.0,4,,,,1962.0,1.0,"Bath
Cable TV
Shower
Toilet",Present,Not present,,G,Present,Yes,Permit,No,"Description
!! OPEN HOUSE ON THURSDAY OCTOBER 25TH FROM 3:00 PM. TO 4:00 PM. !!
PLEASE NOTE: STUDENT HOUSING! This property is only available for temporary rental to students.
Spacious Maisonette in the Vibrant Heart of Amstelveen!
This large maisonette on the second and third floors offers a unique opportunity to live in the lively Stadshart of Amstelveen, with a sunny west-facing balcony. Ideal for those seeking temporary comfort and convenience in a dynamic environment full of amenities and excitement!
• Living area: 85 m²
• Three spacious bedrooms
• Bright living room with a west-facing balcony
• Smoothly finished walls and ceilings
• Perfect location in the popular ""Stadshart"" shopping center
• Excellent public transport connections to Amsterdam Center, Schiphol, and the A9
• Maximum rental period: 1 year and 11 months
Shall we take a tour?
GROUND FLOOR:
Through the central hall with elevator and staircase, you reach the second floor.
SECOND FLOOR:
Via the gallery, you enter this charming apartment on the third floor. Upon entering, you step into a spacious hallway, which leads to the bright living room with large windows at the rear, flooding the apartment with natural light. From here, you have direct access to the sunny balcony, perfect for enjoying the afternoon and evening sun! The separate kitchen is practically designed and equipped with various built-in appliances such as a refrigerator, dishwasher, hob, and oven. Additionally, there is a separate toilet with a small sink on this floor. Extra storage space can be found in the separate storage room on the ground floor, which is even equipped with electricity.
THIRD FLOOR:
On the upper floor, there are three bedrooms. The largest bedroom is located at the front and offers plenty of space and comfort. The other two bedrooms are at the rear, perfect as children’s rooms, guest rooms, or home offices.
The simple bathroom is accessible via the landing and features a bathtub/shower combination and a washbasin.
Next to the bathroom is a separate space for the washing machine, keeping everything neatly out of sight.
In short, a stylish and comfortable apartment in a prime location!",False,,Stadshart,amstelveen,532000.0,79.6875,8.0,2.0,-15,0,1.5,63.331107115335215,False,122.23,46.04114034806062
https://www.pararius.com/apartment-for-rent/amsterdam/ddca3bdf/oudezijds-voorburgwal,2975.0,1012 GM,88.0,3,Upholstered,,,1655.0,1.0,"Mechanical ventilation
Shower
Toilet",Not present,Not present,,,Present,Yes,Public,No,"Description
Oudezijds Voorburgwal 316 A, Amsterdam
This impressive and prestigious 88 m² (NEN) apartment is located at the front on the raised ground floor of the beautiful national monument ""Jacobs Ladder"" (built in 1655). The most magnificent feature of this apartment is the specially crafted, valuable, and unique monumental wall paintings by the renowned Dutch wallpaper painter Jurriaan Andriessen (1742-1819), of which only ten have survived. The apartment has been renovated and is suitable for both living and working.
Layout:
Entrance with a hallway and built-in wardrobe, a spacious room with a beautiful open kitchen, separate toilet, modern bathroom, laundry room, and a (bedroom) room with built-in wardrobes. The apartment also has a monumental front room with high windows and shutters, stunning antique mirrors, a marble fireplace, wooden paneling, and the truly magnificent landscape paintings. This front room is perfect as a highly representative space. It features two wide windows overlooking the canal and three immense floor-to-ceiling windows on the side.
Location:
Situated in a charming, beautiful, and quiet part of the Oudezijds Voorburgwal, in the original center of Amsterdam, diagonally across from Hotel de Grand. Near Rokin, with its beautiful shops, and within walking distance of restaurants and cultural venues. The apartment includes access to a communal storage space in the basement.
Features:
Rental price: per month excluding gas, water, electricity, TV, internet
National Monument (1655)
Ideal for living/working or as a pied-à-terre
Unique wall paintings by Jurriaan Andriessen
Available unfurnished
Marble fireplace with antique mirror
Communal storage
Subject to owner and VVE approval
This information has been carefully compiled by Engel & Völkers. No liability can be accepted by Engel & Völkers for the accuracy of the information provided, nor can any rights be derived from the information provided.
The measurement instruction is based on NEN 2580. The object has been measured by a professional organization and any discrepancies in the given measurements cannot be charged to Engel & Völkers. The buyer has been given the opportunity to take his own NEN 2580 measurement.",False,,Burgwallen-Oude Zijde,amsterdam,557000.0,82.5,8.0,-5.0,-15,0,0.0,65.63993648273124,False,115.43,44.92617903930131
https://www.pararius.com/apartment-for-rent/amsterdam/adc6637e/cornelis-schuytstraat,3950.0,1071 JH,125.0,4,,,,1897.0,1.0,"Bath
Roof terrace
Shower
Storage space
Toilet
Laundry room",Present,Not present,,C,,Yes,Permit,No,"Description
Conveniently located apartment with balcony for rent in Amsterdam with 2 bedrooms in the Museumkwartier district.",False,,Museumkwartier,amsterdam,1175000.0,117.1875,8.0,2.0,22,0,0.0,121.04803493449782,False,238.37,89.17772652838428
https://www.pararius.com/apartment-for-rent/amsterdam/421de1e5/van-speijkstraat,2250.0,1057 GZ,82.0,3,,,,1912.0,1.0,"Cable TV
Mechanical ventilation
Roof terrace
Storage space",Not present,Not present,,C,,Yes,Public,No,"Description
Spacious and bright 3-room attic floor apartment on the Van Speijkstraat 179-4 in Amsterdam. The house is available from November 22th , 2024.
Area: Located in a popular area of Amsterdam West, in the immediate vicinity of Project de Hallen, the Bilderdijkpark, the Jordaan and Vondelpark. Surrounded by shops and cozy restaurants. Adequate public transport facilities within walking distance.
Layout: On the 3rd floor entrance / hall, on the 4th floor is the spacious living room with open kitchen with appliances, also two spacious bedrooms, a luxurious bathroom with shower, bath, double sink and toilet. Furthermore, the apartment has a beautiful roof terrace. The apartment is fully insulated, neatly finished and throughout the house is a beautiful laminate floor.
Surface approximately 82 m²
Rental price:
Net: € 2250, -
Service: € 11,--
Gross: € 2261,-- p/m
Allocation:
• The house is rented to households with a gross annual income of at least € 108000,--
• We do not accept sponsorship by eg. Parents.
• Groups of friends / students are not eligible.
• A credit check is part of our allocation.
• Lease for at least a year.
By signing the lease:
• Rent (depending on lease commencement date)
• Deposit (minimum 2 months net rent)",False,,Chassébuurt,amsterdam,558000.0,76.875,8.0,-5.0,22,0,0.0,67.7156246671637,False,157.84,55.964906140164025
https://www.pararius.com/apartment-for-rent/amsterdam/069277dd/overtoom,2800.0,1054 HC,101.0,4,Upholstered,,,1873.0,1.0,"Shower
Toilet
Laundry room",Present,Not present,,B,,Yes,Public,No,"Description
AVAILABLE IMMEDIATELY FOR AN INDEFINITE PERIOD!
Not suitable for sharers.
This centrally located and completely renovated four-room apartment of approximately 101 m² is situated on the vibrant Overtoom in the popular Oud-West neighborhood. The apartment features a spacious living room with an open kitchen and a lovely sunny terrace, two bedrooms, a large study, and a bathroom.
The apartment is perfect for a couple, offering enough space to work from home and relax. With large windows, the apartment enjoys plenty of natural light and a beautiful view of the lively street, contributing to its cozy atmosphere. The adjacent balcony faces south, making it an ideal spot to enjoy the sunshine.
Layout:
Second Floor:
Entrance to the apartment on the second floor. The hallway includes a separate toilet and two practical closets. From the hallway, you have access to the bright, spacious living room through double French doors at the back or through a door at the front leading to the open kitchen. The modern kitchen, located at the front facing Overtoom, is fully equipped with an induction hob with an extractor hood, an oven, a fridge and freezer, a dishwasher, and a sink.
At the back is the beautiful adjoining sunny terrace overlooking the quiet and green courtyard, perfect for a relaxing moment outdoors. The study is also located at the rear of the apartment and can be accessed through the hallway.
Third Floor:
The third floor offers two spacious bedrooms, one at the front and one at the back. Additionally, there is a full bathroom with a shower and sink, a separate toilet, and a separate laundry room.
Location:
The apartment is located on the bustling Overtoom, near the popular Helmersbuurt in the Oud-West district. Within walking distance, you'll find Leidseplein, Vondelpark, and Museumplein. This neighborhood exudes a lively, urban vibe with a diverse mix of young and older residents, families, couples, and expats, all appreciating the dynamic energy of Amsterdam.
Accessibility is excellent, with several tram and bus stops nearby; tram 1 stops almost at the door and takes you to the city center or Amsterdam Lelylaan train station in just a few minutes. By car, you can reach the A10 ring road in just 5 to 10 minutes. Parking in the area operates through a permit system.
Within walking distance, you'll find various supermarkets such as a large Albert Heijn, Lidl, and Jumbo, as well as countless shops and cozy coffee spots like De Koffiesalon and Uncommon. For a tasty night out, you can visit popular restaurants and bars such as Gertrude Resto & Bar, De Italiaan, Le Forel, Pastis, and Café Helmers.
If you want to relax or be active, Vondelpark is just a 5-minute walk away. There are also several gyms in the area, such as Vondelgym and Saints & Stars Oud-West.
Details:
Available immediately
Not suitable for sharers
Spacious apartment (approx. 101 m²) with 3 bedrooms
Available for an indefinite period with a minimum rental term of 1 year
2 months deposit
Partially furnished
Sunny south-facing balcony!",False,,Vondelparkbuurt,amsterdam,1113000.0,94.6875,8.0,2.0,34,0,5.75,124.12140602706558,False,233.06,88.62443898893164
https://www.pararius.com/apartment-for-rent/hilversum/ce25d009/kapelstraat,830.0,1211 LX,40.0,2,Upholstered,Unlimited period,,1905.0,1.0,,Not present,Not present,,,Not present,No,,No,"Description
Neat studio in the center (side street Langestraat), near the central station and the pleasant center of Hilversum. The studio is located on the first floor.
Layout: entrance, studio with open kitchen with 4 burners, extractor and fridge, bathroom with toilet.
Particularities:
rental price includes gas, water, electricity and internet;
washing machine and dryer are shared;
shared bicycle shed;
contract duration is 12 months;
the apartment is not furnished;
maximum 2 people (no sharers);
owner award.
Rent of this nice studio is € 830, - including advance payment for gas, water, electricity and internet on a monthly basis.
To be eligible for this home, you must register with Brick Brokers. An income test is used of at least 3 times the monthly rent as gross income or by means of a guarantee.",False,,Centrum,hilversum,343000.0,37.5,4.0,-5.0,-15,0,1.75,60.44541484716157,False,50.87,27.61948689956332
https://www.pararius.com/apartment-for-rent/hilversum/f0568412/1e-oosterstraat,750.0,1211 LA,32.0,1,Upholstered,Unlimited period,,1983.0,1.0,,Not present,Not present,,D,Not present,No,,No,"Description
Neat studio on the 2nd floor. The studio is located a few minutes walking distance from the center and station.
Layout: entrance, living room with open kitchen with 4 burner stove and extractor hood and a bathroom with shower, toilet and sink.
Particularities:
rental price including g/w/e;
apartment is for 1 person;
apartment is not furnished;
shared washing machine;
shared shed for bicycle;
no pets allowed;
minimum rental period is 12 months;
owner's award.
Rent of this nice apartment is € 750,- per month and includes gas, water and electricity.
To be eligible for this property you must register with Brick Brokers. An income test is used of at least 3 times the monthly rent as gross income or by means of a guarantee.",False,,Havenstraatbuurt,hilversum,328000.0,30.0,8.0,-5.0,32,0,0.75,66.75982532751092,False,109.48,43.72824235807861
https://www.pararius.com/apartment-for-rent/heerlen/68306638/leenheerstraat,900.0,6411 TS,77.0,4,Shell,Unlimited period,,1930.0,1.0,,Not present,Not present,,G,Not present,No,,No,"Description
Start your better living with this stunning 3-bedroom apartment that offers the perfect blend of space, lighting, and convenience. This safe and spacious apartment is waiting for you to make it the ideal place for your family.
KEY FEATURES
Private entrance
Modern kitchen
Secure parking at street level
Beautiful bathroom
PRICING:
Rent: €1,250 per month
Office Fee: €450
Security deposit: €1,250
ADDITIONAL INFORMATION:
The information and dimensions of this property have been compiled with care but may differ from reality. No rights can be derived from this information.
Ready to experience a better living? Make your next move with us!",False,,Eikenderveld,heerlen,159000.0,72.1875,4.0,-5.0,-15,0,0.0,19.017183689672773,False,75.2,19.017183689672773
https://www.pararius.com/apartment-for-rent/amsterdam/d9a60437/werfkade,2950.0,1033 TA,94.0,3,Furnished,Temporary rental,,2024.0,1.0,"Bath
Lift
Intercom
Internet connection
Shower
Storage space",Present,Not present,,A+++,Present,Yes,Garage,Yes,"Description
AVAILABLE FOR A FIXED RENTAL PERIOD FROM 10 NOVEMBER 2024 TO 30 JUNE 2025
This stunning and energy-efficient 2-bedroom apartment of approximately 94m², located on the NDSM wharf in Amsterdam Noord, boasts breathtaking views over the IJ river and the city centre of Amsterdam, with beautiful sunsets to be enjoyed every evening.
The expansive windows in both the living room and master bedroom provide uninterrupted panoramic views. The apartment is spaciously designed, featuring two generous bedrooms, a luxurious open-plan kitchen, a modern bathroom with both a bathtub and a walk-in shower, and a sunlit loggia of approximately 10m² facing southwest. Situated on the fourth floor of a complex with a lift, a parking space in the underground garage is also available for rent.
Location
This apartment offers the perfect balance between tranquillity and vibrant city life. Enjoy the peaceful surroundings and stunning views, whilst being only a short walk from the lively NDSM wharf and the ferry (operational 24/7), which takes you to the heart of Amsterdam within minutes.
Layout
Through the secured entrance, complete with a video intercom system and MyPup package lockers, you reach the apartment on the 4th floor. The apartment features a stylish oak-colored PVC floor and is entirely on one level.
The hallway, equipped with a cloakroom and a high-tech WC with wash and dry functions, leads to the bright living room, offering spectacular views. The open-plan kitchen is fully equipped, including a spacious American-style fridge. Double doors open directly onto the generous loggia.
The master bedroom (approximately 15m²), located next to the living room, also enjoys expansive views over the IJ. Adjacent is the modern bathroom with a walk-in shower, a whirlpool bathtub, towel radiator, and a large vanity unit. There is also a large internal storage room with a washing machine, dryer, and ample storage space.
The second bedroom is situated at the back of the apartment.
This highly energy-efficient apartment is fully insulated, with district heating, underfloor heating and cooling, and a heat recovery system, achieving an A+++ energy label.
Neighbourhood
The apartment is located in the Havenblok section of the Nautisch NDSM building, right on the waterfront of the IJ. The NDSM wharf is a bustling cultural hotspot with a wide range of activities. Popular nearby restaurants and cafes include Pllek, IJver, Noorderlicht, and Loetje aan 't IJ. For daily essentials, Albert Heijn and a variety of other shops are conveniently located just around the corner, along with healthcare centres, gyms, and pharmacies.
The A10 motorway is just minutes away by car, and public transport options are excellent, with the ferry (500m away) taking you to Amsterdam Central Station in 12 minutes, or the Pontsteiger in just 7 minutes. There are also several bus lines connecting to Zaandam, the Zaanse Schans, and the Mosplein shopping centre, with a final stop at Amsterdam Central.
Features
- Built in 2024
- Energy label A+++
- Living area approx. 94m²
- Spacious living room with luxurious open-plan kitchen
- Two large bedrooms
- Fully furnished
- Bathroom with walk-in shower and bathtub
- Southwest-facing loggia of approx. 10m²
- Internal and (part) external storage rooms
- Lift access and communal garden
- Optional parking space available in the underground garage
AVAILABLE FOR A FIXED RENTAL PERIOD FROM 10 NOVEMBER 2024 TO 30 JUNE 2025
Rent: €2,950 per month excluding gas, electricity, TV, internet, and municipal charges.
Security deposit: 2 months' rent.",False,,Noordelijke IJ-oevers-West,amsterdam,462000.0,88.125,8.0,2.0,57,0,1.0,52.46241754157762,False,208.59,52.46241754157762
https://www.pararius.com/house-for-rent/bocholtz/5438859a/de-baan,900.0,6351 BK,110.0,5,Shell,Unlimited period,,1975.0,1.0,,Not present,Present (located on the south),,C,Not present,No,,No,"Description
Start your better living with this stunning 4-bedroom family house that offers the perfect blend of space, lighting, and convenience. This safe and spacious house is waiting for you to make it the ideal place for your family.
KEY FEATURES
Private entrance
Modern kitchen
Secure parking at street level
Patio
PRICING:
Rent: €1,250 per month
Office Fee + Utilities: €450
Security deposit: €1,250
ADDITIONAL INFORMATION:
The information and dimensions of this property have been compiled with care but may differ from reality. No rights can be derived from this information.
Ready to experience a better living? Make your next move with us!",False,,Bocholtz,bocholtz,230000.0,103.125,4.0,2.0,22,0,0.0,24.13060738388249,False,155.26,24.13060738388249
